x,y
3259,1899
1584,2659
2489,2273
2602,2335
1962,3157
1643,2512
1979,3294
2050,2508
2451,1341
1859,2599
2562,1872
2557,2304
2057,453
2384,2058
2315,2781
2316,2182
2275,3107
2856,2319
3163,1899
2489,2550
3200,1867
1061,1848
3467,2009
2088,303
2047,322
2818,2746
2799,870
3014,1480
2094,2383
1982,2482
3728,2857
2098,2542
2172,2375
3827,2381
987,2412
1704,3062
1962,2616
3615,2085
2186,3283
3523,1980
1897,2987
3463,2835
3958,2675
1724,2446
2068,476
2606,2294
2208,3120
2938,1213
2241,2787
2168,2377
3174,1850
2509,1585
3533,2015
1983,2897
1949,2945
2042,3263
1148,1736
1942,3111
1946,3295
2023,2458
2050,2534
2325,3081
2441,2201
2075,2511
2301,867
3927,2863
3581,2832
1272,3786
1547,1924
3377,2817
1860,2589
1993,2997
2512,1645
2073,366
1985,3316
3757,2834
2072,376
1975,3761
1883,3346
1856,2703
1545,2128
2145,2907
1950,2496
3159,1843
3807,2380
3838,2381
1986,2510
3440,2748
892,2522
3872,2396
2386,1097
2077,2446
2441,1222
2381,2758
1780,2806
2240,3210
2070,435
3795,2872
2775,964
1660,2916
2050,2430
3411,1901
2569,1850
2182,2358
3576,2867
2759,2129
1932,3692
1950,2926
2550,2247
2377,1077
2674,2028
1673,2534
3835,2811
3563,2883
2452,3968
2875,2646
3957,2743
748,2275
3924,2784
3415,1942
1853,2640
2410,2675
1997,3215
2204,2884
1895,3825
3781,2893
2509,2554
1871,2563
3957,2888
1573,2902
1667,2548
1932,2523
3285,1785
3349,1868
1933,2524
2480,2297
2106,2367
1859,2642
3763,2407
3373,1861
1723,2446
3672,2839
601,2220
1585,2766
1922,2507
2100,453
3490,2772
3630,2819
3764,2808
3000,2456
2003,2550
2220,2353
2786,2130
1943,2982
3953,2886
2586,2126
1827,3034
2744,1019
2138,2777
1799,2659
2015,2472
2412,1182
3942,2851
2923,1243
2266,1848
2098,2385
2116,3067
3986,2782
2034,2834
3832,2451
2034,336
2333,1664
3966,2884
3244,1772
2807,2658
823,2305
2750,2156
2299,2202
3479,2883
3144,1815
2466,2240
3129,2471
1094,2992
3965,2660
3600,2031
3997,2670
1736,3088
2128,548
2835,2262
2456,2595
2461,2209
2288,2306
2542,2469
3202,1903
3777,2336
1949,3107
3859,2483
2506,2531
3219,1879
1881,2559
1823,2646
2061,2835
1919,2955
2073,2816
2679,2057
1824,3211
2778,964
2194,3235
2283,2801
2263,2774
3545,2871
2792,2171
1778,3135
3711,2830
3788,2324
2681,2106
2144,2496
2186,2896
3435,2849
3851,2487
2511,1584
1933,3738
3966,2650
1739,2399
3481,1985
3282,1880
3618,2833
1856,2393
