x,y
3516,1969
2838,2548
3173,2119
395,3831
2812,57
3404,2601
3758,3028
3164,2754
2926,799
3257,3801
412,1851
3415,3382
3292,3336
3549,3784
3206,3673
1778,3012
2240,116
3466,3180
3233,3326
67,3320
3999,3604
46,3450
831,1499
2678,3099
3576,2477
2983,2869
96,714
3226,3647
710,1630
2636,1317
2731,669
1162,3809
2902,2851
3248,3466
922,3307
3090,3914
2708,801
3303,441
2230,3899
3098,433
110,1728
153,150
1071,1183
712,3618
3606,2417
2727,200
2265,2727
105,432
2653,219
2715,1205
3187,1208
3264,2675
427,540
3297,3269
3130,689
2714,2092
2958,2547
1978,2116
3064,1633
633,202
3875,2344
3606,3342
3380,3523
149,1900
9,526
2609,835
455,496
2986,2265
577,1693
3724,3300
2715,436
3194,2628
2783,235
3788,3039
2622,1301
2508,505
3146,3231
3790,2325
3139,1686
3612,3583
3690,3074
3768,3245
1178,3904
2729,1953
3236,3169
1347,961
3443,3609
3315,3472
3259,3868
3363,3909
3030,3897
3036,464
3379,3038
2208,3969
2872,396
1152,3882
3455,3310
1608,1485
809,1377
358,2028
227,382
3077,328
761,3673
3788,2285
1125,1264
282,364
2713,2071
2382,401
3608,3353
3492,3435
51,3434
3085,496
3872,3398
2856,68
3147,3203
3013,1697
2844,2584
3148,1151
2863,2818
207,498
3310,3390
1900,1680
3414,1027
3377,3796
2825,2135
2605,174
3802,3029
3129,256
2901,2969
638,1804
3263,3280
3050,3033
2343,399
3816,2960
2676,1467
124,329
423,1914
3481,3804
2689,572
2714,500
324,467
2876,2474
299,378
3599,3464
2747,297
1842,222
126,520
3146,3291
3399,2265
2667,1655
3302,3242
2854,2114
3185,3369
1957,2011
658,3318
3575,2691
2365,797
2734,440
1882,216
43,466
157,3678
3239,3692
3072,3177
3316,3727
3923,2753
3009,2650
3248,3638
638,1846
1880,1747
2929,899
2527,677
3598,1133
2355,590
2833,2207
1346,3765
3005,2117
2671,2509
193,3407
3623,3121
2820,2944
666,3382
2399,80
345,418
2822,1979
3645,3333
428,3755
3448,3484
2646,1332
3286,322
3184,1202
3076,982
2046,3212
233,3207
2911,1898
2756,656
2241,936
673,3314
2668,465
2989,2265
2714,2147
2616,2827
1084,1166
3904,3294
2819,3958
3393,2607
15,3763
205,470
3479,23
3552,3816
2778,567
3234,256
2543,207
2796,1733
3157,3894
2728,94
2517,3895
3227,3525
3217,3610
3403,3027
2688,1099
2461,1071
3207,3663
3464,3269
2244,884
3509,3647
3410,3656
3629,2421
2643,2866
2846,2669
2373,793
974,1082
1628,339
3144,2857
2582,81
3317,3257
541,1697
2825,445
551,3559
3976,912
148,443
2533,250
3601,3139
707,286
3395,2886
3605,9
2778,848
213,1837
2764,659
3547,3341
3784,2254
1925,1884
3629,3497
3429,2550
3029,609
3204,2368
1749,2655
541,1739
3515,3308
239,669
223,1834
2630,1367
699,1640
2511,368
2303,2912
3704,2115
3319,3073
3507,3291
2830,2726
2844,1921
3620,2007
3474,2511
3247,3748
636,2058
558,1644
1789,3067
2815,1839
3122,1727
384,3744
2647,1838
3374,3786
3777,2970
2824,2723
3496,3275
582,2086
3829,3281
2612,690
630,3303
2274,891
3180,2384
3379,3815
3721,2301
168,357
3830,3254
3428,3248
3569,3822
2600,977
594,512
2908,2464
2603,3024
87,3619
3553,3273
149,3738
2699,2792
2017,2199
2950,719
3412,2770
3149,494
3824,2330
643,1885
67,1933
997,521
3172,3138
2655,1171
1010,1337
1501,1005
1217,2153
600,2006
2740,355
3169,3730
3779,3046
3676,1381
3006,2476
3238,1956
2913,2037
121,3293
509,1676
3182,3547
3193,3378
2545,54
3232,1951
576,3686
2396,49
3905,2601
2663,258
2581,6
3136,239
3082,3229
3895,2817
2717,27
622,1998
3421,3277
688,1699
292,424
3524,3144
3848,3237
972,1114
3417,2599
3032,3150
3210,3994
605,3333
3069,562
3668,1407
3583,2475
2750,529
3701,2292
3809,3103
3090,2924
2755,598
3493,2428
3138,704
3193,3270
3291,1941
2850,2094
2637,2999
3932,763
2606,1029
3486,3137
2672,569
3478,3318
3741,997
2801,612
272,390
88,3592
3330,2939
3710,2136
187,3783
1156,3840
3815,3693
358,3762
2925,2475
3351,30
3279,3795
3735,2298
643,299
3195,3455
1332,1342
3582,1
1007,1282
1290,1074
3005,3923
3067,3898
2772,262
2786,1668
2685,2710
89,1917
3166,685
3541,3443
3138,3727
3424,3735
2859,384
2693,1110
2877,2379
36,1120
3179,208
513,1718
786,2251
3538,3310
291,1925
3241,1161
2647,1188
3593,1723
3580,3065
235,3879
5,524
2678,1243
3200,1886
3538,2678
2533,89
338,3791
552,3284
2721,939
2883,2934
2481,1216
14,843
1788,2634
2818,671
3427,3336
3402,1075
3645,2420
371,458
3850,2989
3197,3856
2941,2923
3748,3190
3159,545
2743,3071
2945,2286
2990,973
60,378
1228,3734
293,309
2762,2831
3992,889
3046,95
2759,2846
568,2083
2834,2672
180,391
1452,1027
3512,3123
3151,2717
744,1563
1514,963
3054,2467
3640,3360
2920,3088
2515,758
3458,3245
3370,3659
528,1830
3307,3730
686,32
3383,3409
2663,2919
389,589
249,537
3178,1933
635,3452
2813,2911
2950,749
2585,3873
2608,1133
3496,3352
3124,627
165,3481
2759,1415
3766,3143
1921,1929
3820,3116
74,375
2948,2159
3770,2268
2884,2875
3682,3400
3174,2614
3641,3434
3376,3462
3144,238
2869,2636
151,309
2826,274
2936,762
3064,2447
3367,995
3234,3698
2744,2753
2016,2168
3767,3162
320,403
483,1772
2848,2480
2852,1945
3074,1171
2839,1964
3263,3252
2478,197
3587,3888
3488,3783
3638,3422
2969,258
204,507
3540,2598
2697,336
2695,542
3343,3313
3668,3448
2289,2829
3241,3027
2821,2071
3107,2613
2636,2755
3349,1465
2721,66
2991,2895
249,167
125,445
3972,3004
242,482
26,117
2844,3026
3692,2278
2984,2355
2705,1741
3447,3522
3744,3248
2951,921
2856,1562
2842,463
3764,3188
3922,674
1700,2977
132,3520
2643,276
135,210
2806,1792
75,3840
1287,1997
3625,3180
3399,3657
142,744
3400,3948
3938,1033
3853,3631
3504,3673
29,3646
2841,1814
2919,2755
2638,2756
248,3280
2622,236
2685,744
3381,1026
3204,2260
3329,1465
2785,1945
2745,2111
2987,3121
2598,113
3413,3027
1447,1462
3364,46
805,2226
3483,3405
3993,2746
2693,1252
3303,439
3186,3427
1859,1649
2710,140
270,3867
3958,2282
1028,1090
19,3441
3951,3357
3828,2256
3773,3190
3912,2711
2201,3902
2852,2730
1213,3769
2503,553
3022,2435
3206,2996
861,1450
3982,219
3250,3474
3200,3611
85,318
3195,3541
3734,2960
3356,2529
3258,3602
2822,1653
2510,409
1287,3764
2776,2603
2903,2033
2785,1948
3481,3769
3582,3181
2484,237
2528,380
2714,1049
2635,1196
3579,3128
2776,1966
3369,3021
2755,1096
1176,3810
20,286
2950,2028
3228,2798
2985,176
3701,3272
2214,3972
2356,626
3301,433
3546,2596
3188,3933
2742,233
3192,3905
3522,3336
105,3873
3083,351
3475,2365
2856,1387
3108,3921
3191,3759
2900,2934
687,479
44,329
3511,1973
3615,3576
3536,3268
2831,2116
2860,467
2837,136
994,1363
3208,1217
3039,630
3214,3191
3783,3212
608,2184
2875,3017
2674,322
3580,3175
3386,2393
220,1826
91,3603
2683,617
2582,757
2791,110
2808,2745
2669,2816
1579,2607
2748,1886
2877,3018
2752,629
2793,2995
3640,2736
2845,2994
2836,1178
3252,3372
3707,3084
928,2307
3695,2116
2963,2826
3189,3680
3428,3212
2697,1942
183,1705
2406,31
2643,521
1009,3779
63,372
408,3741
3521,3217
167,3759
2864,2598
3963,927
809,1507
3168,3130
3073,489
2849,3077
3401,3455
3044,103
3579,3343
2749,1597
3181,3270
3485,2469
3101,486
2728,2258
3631,3455
3532,3466
2941,913
2796,1888
3006,976
843,671
2082,2493
56,73
523,161
1208,1148
2874,2229
2794,1874
3102,3111
3488,933
2968,3084
3338,2459
3730,3242
3039,3098
2700,1139
3060,1643
2879,2489
3218,3311
338,1865
3623,3218
3239,3103
43,1760
2829,1772
3462,3274
1257,2667
2487,192
3421,3083
1330,928
2927,357
2724,1720
2952,2823
599,181
155,509
3071,3205
3634,2466
150,3266
2796,2005
3467,3152
3141,3103
3382,2804
693,317
3658,2291
1892,1695
396,3757
2761,2123
3576,3273
2998,2883
3465,3357
2724,2166
2976,2161
2858,2730
725,236
184,214
2448,896
575,329
3142,3759
2939,334
2845,2888
2769,2658
3701,3386
3124,2838
3681,3066
3488,3280
3366,2305
2935,2730
3279,3275
2119,73
3436,3391
3466,2940
2754,1287
3764,2522
940,629
3530,3461
3396,3694
2780,1322
2853,468
2725,1569
611,3596
3442,2859
3308,3717
2898,1867
3952,3336
3547,3327
3128,2243
3145,489
3449,3131
3965,2754
72,3649
685,1618
3710,2105
2757,489
3430,2541
2914,3051
3966,2865
3635,3591
704,1595
3298,3604
2789,399
2874,2853
2613,1312
3304,3556
3374,2435
2734,3081
183,368
3062,3200
3505,2544
3242,2970
1429,3672
3864,2984
2790,186
3032,2482
2786,632
3142,3553
962,566
3426,3599
3203,3060
2804,605
3769,3206
2273,15
3265,384
3631,2486
3348,3642
2628,2808
1211,2639
2489,3898
3385,3428
3382,3308
2969,2728
3889,2956
367,3809
2678,606
3019,2894
446,273
3983,2946
2781,3068
3736,3268
3174,3352
2835,2104
2183,3948
3092,2537
852,1439
2856,407
3421,3867
636,209
2315,911
804,3481
165,3711
3694,3238
2785,2588
3780,2483
3069,573
32,633
3718,3161
3545,3203
89,3494
595,3608
3588,3117
2332,45
3831,2628
628,3480
79,357
2825,1737
2841,2093
3489,3767
2700,119
1136,3994
3591,1576
3461,879
3293,3848
2249,3856
3628,2471
3721,3034
