x,y
3914,2218
23,1146
3895,1740
2321,2127
3180,1192
2490,1399
3658,1212
3198,1338
3803,1745
3146,1076
33,2889
1478,2460
2831,692
3878,1322
148,512
2603,1122
3764,1137
3744,1269
3042,359
3737,1915
2616,3254
3296,1411
3889,1786
87,1938
1127,454
2420,801
3629,1164
2717,3410
3915,1577
84,2827
2830,606
1425,2389
1137,181
3451,1308
2610,676
1614,2826
8,1963
2708,753
3050,335
135,2257
2258,1886
3807,1589
3288,920
1481,1749
3323,1443
3045,330
2399,1578
1613,3051
3539,1755
2,1690
1779,2931
3993,2039
3649,1105
2249,1817
3859,1699
3978,1667
2499,893
2211,1801
3682,1139
3029,261
3735,1242
2318,1900
859,71
801,181
3814,1459
3629,1083
965,3675
2887,781
2924,953
2472,1316
3875,2014
3796,1743
3521,1256
3238,2229
3409,1596
2148,700
3919,2280
1504,2473
1417,1638
2445,800
2506,1030
511,2935
3770,1750
2129,1850
3955,1330
2289,1802
27,2218
3206,1161
3183,3209
2373,830
3718,1796
3916,2091
3015,459
3155,1222
3197,2083
3465,1204
939,3796
847,80
1648,1151
3923,1489
29,1695
344,3093
2381,1123
3834,1627
2344,946
3418,1038
3538,3631
1675,689
2659,1133
3669,1176
3140,2253
3795,1727
2343,439
3879,602
1654,3151
3182,89
1333,739
2290,1752
881,886
2702,1149
2914,694
3993,1603
3339,1485
951,3772
3221,2067
2292,1933
3452,1189
106,1926
749,228
3906,2478
960,2207
567,541
1680,1217
1697,406
2703,705
3866,2036
2226,779
3469,3405
510,3139
2677,745
3799,1210
492,685
3835,1651
1468,694
3305,1427
1910,1791
3798,1726
3716,1815
1847,1238
1605,3055
3597,1772
2254,1892
3071,244
121,2038
1465,2304
2813,772
97,1816
1941,301
2992,252
3822,1097
2210,1068
1479,1793
3677,531
1781,3061
2182,942
1605,2821
2457,1715
2646,1148
3053,893
3377,1921
3938,1361
1564,2587
2021,1790
3792,1717
3464,1671
2400,1826
2650,719
519,1450
3871,1362
2217,1501
2508,984
1613,1159
2721,1127
1575,637
3221,963
41,2183
1193,429
1519,1129
2650,3846
2646,809
3821,1604
559,611
580,3057
3918,1508
2105,1799
2151,1830
2729,1132
2705,739
3239,1152
1901,236
3806,1742
3943,1706
2223,1874
671,303
3927,2409
2457,1000
44,2248
3867,1310
3207,33
634,1440
3257,920
3045,435
652,1344
1610,2844
3850,1688
3198,2092
2692,1117
3424,1149
2451,1123
3703,1815
2427,3356
3246,2252
3620,1037
3940,1942
2956,805
351,3084
3156,1141
2923,857
859,3891
851,3880
2905,1352
2450,1028
3070,543
3023,808
2504,1098
47,2872
3228,1315
3212,2232
30,2232
1286,1973
82,2092
3923,1752
3952,1664
2341,1000
1597,1184
2569,1101
3710,519
2204,797
1533,1165
3696,1745
3656,1260
3667,519
3072,333
3033,267
3766,1811
2536,3581
2964,2819
433,1352
3748,1305
2979,568
86,2055
3865,1717
692,2982
3551,1152
3490,989
3930,2522
182,429
3243,2205
2969,699
127,2818
2467,3339
2742,660
3313,940
3421,1555
900,3912
1467,2057
955,3724
2420,433
3830,580
2155,957
3217,2245
2969,505
2809,3637
3326,1191
2508,1038
3176,961
1722,3253
3008,947
3414,1605
2861,596
720,1094
3744,1103
1696,3327
3989,1771
3334,1501
2093,770
1447,1940
170,2917
3952,1178
3507,1087
145,2202
3738,1273
1672,2716
3470,1863
3366,1386
2114,1797
2448,1508
3628,1235
3610,1156
3640,1086
729,1145
3501,999
2745,963
3759,1806
3486,3416
3932,1224
3916,1943
1685,413
3066,441
594,358
3713,1213
885,46
3865,1503
3154,195
3421,1126
1504,2467
3221,2157
3863,1749
3859,1926
467,686
3230,1213
1631,3736
846,205
3967,1070
724,292
1695,1084
1962,233
3945,2057
3434,1629
3535,3475
574,451
1469,2391
1475,2027
3414,1197
3374,1166
3293,1220
3534,1242
2308,1426
2931,608
607,1022
3965,1836
1252,387
1590,1116
2127,1063
3663,1081
2753,802
3826,1598
34,1724
3226,1167
3104,275
1635,2970
3442,1045
3419,1040
3534,1825
2959,586
3924,1918
2961,279
1815,330
9,1703
3414,1971
3888,1347
3237,2201
3811,1103
2741,904
1682,682
2596,939
3737,1184
2094,755
3321,1210
1726,336
97,2974
3707,1169
3516,1157
3689,1114
333,2769
549,466
1662,1136
1585,2886
3035,435
61,1876
3684,1100
2117,1042
3925,1906
2493,990
2309,1458
3002,570
3543,1013
1753,2987
387,3091
2189,1079
42,2238
1484,1916
2369,804
754,867
3094,1244
3650,1742
1891,1789
2511,2319
1929,136
478,3750
3912,1950
2575,1063
471,682
5,2220
1732,2875
2397,1721
2541,1039
1607,3032
3350,1207
18,38
3239,2310
3772,1218
1565,2993
1654,3135
2219,1933
3870,2011
2513,1142
3795,1142
550,419
66,2175
3726,1786
3207,2358
3486,981
2298,2056
3370,1493
3241,2179
3717,1104
1786,3080
3358,1531
2333,1723
3842,1513
3160,2249
977,45
1721,3142
3779,1196
2349,1868
2529,839
1696,3335
3803,1603
399,3070
3518,1729
1627,2804
2861,614
830,1298
3181,116
3814,1694
3868,1682
3207,2227
3942,1612
1757,3111
2452,1554
3490,988
3851,1739
2302,1414
3425,1120
2369,939
1442,2257
3184,886
3945,1934
2,2209
3754,1206
3225,1168
103,2294
2764,883
3156,2283
3188,1330
119,2822
3909,1310
1402,342
3909,2255
1334,1130
12,113
3016,450
3468,1643
1826,301
2311,1901
801,184
3904,2145
3942,1693
2243,775
3470,3381
576,1380
1695,3418
3721,1739
3454,1902
3347,963
1288,1674
792,1354
2403,812
3200,2434
35,9
3463,1895
37,2234
1554,2494
2235,1900
74,2826
3820,1572
1706,3442
3401,1203
1931,124
1397,1999
2961,463
2644,1209
3115,1252
3888,2103
21,2358
3576,1028
3011,882
2888,618
319,194
2882,1122
3043,839
40,1836
119,2175
3170,2344
137,2239
3213,909
1344,1119
509,3083
479,2965
200,2914
1689,3033
2290,2067
3819,1903
3327,940
3137,582
1346,738
1957,2859
3350,1197
3771,1163
3194,956
2178,1951
2286,737
670,2961
3047,410
3554,1891
3440,1213
588,317
1967,2851
1570,2725
838,255
955,2093
1791,1048
3013,580
973,2098
146,3026
110,2929
3842,1326
3450,1796
47,1944
2095,771
1627,3772
2401,743
3341,2087
3930,1583
1385,1941
1549,2599
2392,1431
2418,1469
3887,1728
2862,607
2226,792
516,618
2202,814
3975,1923
3760,1614
3855,1972
2234,1974
3915,2399
3330,1431
130,2277
2872,3904
3560,1212
1819,2998
948,2223
1638,3100
3350,1553
3941,1483
3871,1624
3824,1315
546,607
3786,1652
3163,1180
975,2203
3056,866
3553,1117
3850,1403
2309,1497
1242,140
154,2203
3131,1072
3912,229
1945,2739
3033,384
975,2132
3323,2102
1594,1181
3891,1910
2578,3666
3766,1635
3420,1786
3957,1724
2328,1874
946,859
3829,1750
3661,1166
3855,1128
3709,586
3803,1235
3163,1320
736,1004
980,2097
682,1171
2559,1591
3748,1742
2255,1439
726,674
3411,17
3908,1539
577,452
149,2196
3016,313
1467,2030
696,343
1575,1189
3163,2326
3278,1037
3739,1731
3775,1241
38,2254
1714,3167
1461,2297
3176,2307
2218,692
2153,779
3856,1902
2780,3155
3637,1039
1991,2825
2968,632
66,2214
279,394
1379,715
2554,1586
3861,2002
3420,1852
3472,978
2109,1043
1335,1970
1578,2938
2801,1117
46,765
2159,1050
2814,908
742,1020
3947,1300
1811,3074
2971,205
3417,1032
3828,1541
2961,907
3818,2703
3137,1063
3285,1367
2163,843
3912,1951
3848,1413
3042,899
3037,1270
2777,666
3941,1494
209,2914
2876,741
3945,2251
54,1765
3761,588
3802,1338
2992,525
2228,801
3162,2574
3796,1734
3943,1826
1268,1694
940,3707
3765,1770
14,1712
2544,716
2702,1052
2411,1450
2981,355
3217,2345
1959,2832
3201,1304
3022,282
3616,3578
1613,1136
695,269
3655,1220
3874,1194
1852,1812
2072,864
2163,848
195,2883
2578,889
2475,1112
3640,1770
3190,2062
1625,2905
