x,y
1523,42
824,1644
813,570
1633,842
2974,1187
837,186
3373,1657
3151,1090
1610,465
3117,1315
1184,783
332,957
3643,1848
3003,979
587,51
1546,159
2779,1348
3761,1969
1223,617
3043,1106
3028,954
409,571
3450,1308
1395,751
545,813
965,108
1468,348
1592,693
1079,88
1636,847
2742,863
782,334
2249,224
1085,727
2604,780
414,355
1630,450
184,434
2991,1013
1755,1206
2170,937
934,281
571,812
1149,1204
3795,2107
2752,861
696,269
3911,2063
1750,250
64,538
314,415
1205,57
3811,2023
700,65
3711,1653
2158,747
557,59
1186,231
3102,878
967,227
179,485
1435,348
1479,595
1249,759
1017,537
961,444
1199,254
3217,1317
3316,1625
1108,598
1554,616
1451,108
1104,477
1882,835
3564,471
1467,188
94,481
71,69
9,488
773,21
3223,812
1624,569
3993,1892
754,161
1336,296
1338,723
755,213
1173,1161
3050,862
2004,977
630,12
1552,153
704,410
3192,957
3332,1111
1471,104
515,2320
1622,499
1185,283
993,1057
1112,20
3914,2122
3640,211
3049,1104
970,114
345,660
3303,1168
1044,923
1087,140
2038,756
1968,1100
1332,251
580,822
3360,1408
1576,1026
3824,2019
778,677
1321,154
648,617
1030,892
1090,728
858,1317
965,1045
3863,1990
475,22
772,680
3441,1819
524,25
303,676
957,847
2665,1684
918,453
1600,302
920,158
841,717
2004,976
863,114
351,738
3980,2210
3767,2115
933,119
941,155
3746,1911
622,508
1741,150
1545,133
1680,244
929,475
553,74
3685,1922
84,469
105,150
132,601
1713,179
3216,1319
1393,702
3365,1170
127,26
2774,1353
836,496
952,9
1013,330
2728,1398
2327,243
755,488
3479,1375
2265,784
1469,317
1253,626
3723,1667
3379,1397
1542,254
964,461
1715,309
1297,687
3212,1534
1355,395
953,870
1069,72
1098,727
885,227
3684,1690
831,199
683,313
2797,1524
1243,371
924,81
2123,403
1530,634
3159,869
3293,910
3748,2006
693,509
3649,1831
3087,1121
123,28
360,381
544,101
936,103
2721,1376
3930,2091
930,500
1051,273
1022,125
1693,167
1175,440
671,394
1546,286
18,64
851,1467
424,722
647,643
941,801
299,644
78,270
3041,958
3758,1908
820,629
2710,1390
751,197
795,155
1584,637
1601,305
71,109
2729,1360
921,1010
3739,1910
948,376
1378,853
758,171
859,127
3662,1941
3054,948
1241,156
671,434
1341,759
683,39
3208,1275
698,752
3107,1243
33,20
2814,1550
1418,273
3484,1591
133,602
1528,530
729,560
1400,234
3656,1946
1164,460
3209,1272
1651,3
1308,742
1079,459
3550,492
1191,246
578,791
3694,128
3831,2025
3223,2491
3333,1138
2914,871
1836,658
498,549
3906,2011
1592,651
1070,519
706,335
615,1
3041,863
664,377
1640,506
1086,610
1611,165
3283,1617
18,570
1138,1141
722,559
2833,1241
1038,346
847,1598
905,637
3045,1168
893,1103
1387,702
978,77
3867,1957
3119,1436
3265,1553
497,56
866,538
3467,1519
976,108
1192,39
1557,640
1259,676
3482,1515
3791,2041
663,52
780,176
199,508
3499,587
767,683
284,581
24,444
845,489
793,1521
817,696
1909,863
3718,1907
2910,1209
2787,1277
3128,1373
2102,526
3059,886
3028,984
1626,322
987,521
2800,1517
135,26
3362,1192
1595,573
137,368
2641,842
1417,1265
1259,372
683,70
1033,19
1406,1011
281,610
3655,2057
2264,1172
1115,17
3466,1625
1504,29
1123,42
2801,1363
3452,1655
1074,2
788,426
1441,782
638,434
2800,1268
577,821
3166,789
1561,446
849,159
772,723
1378,319
3130,1036
1203,252
3271,1425
3194,931
1297,744
1212,601
1334,143
2253,1163
93,71
1044,5
1180,265
1239,61
2959,936
1182,770
1255,507
663,618
1100,91
994,500
730,530
1200,340
2826,1569
178,323
739,117
1554,176
3168,1441
1237,367
3349,1373
86,358
1706,213
907,629
1142,1164
299,558
990,849
1466,128
889,560
703,346
1503,413
210,496
540,73
995,417
611,451
1530,329
631,525
3834,1941
556,353
1306,214
1052,111
460,54
1368,657
1942,861
1208,251
1225,190
1095,528
119,464
463,375
1251,767
1778,268
911,7
1052,477
28,228
794,228
18,37
3045,1022
3166,881
680,436
721,669
797,169
1169,498
1223,653
1674,493
523,2300
1098,814
926,404
287,732
1372,526
337,436
1026,711
3869,1967
2810,907
706,126
1326,141
697,467
1749,132
3793,2032
1621,56
3985,2086
2925,1201
2049,746
1011,341
3626,1836
855,187
562,1286
3955,2007
1203,788
3163,990
737,244
3148,2289
1511,66
1342,226
1627,835
99,68
3057,868
2758,828
1555,655
980,546
921,166
3830,1965
1478,537
2216,230
1645,936
884,1379
2040,1272
2191,798
1429,145
1417,1233
1750,340
2030,699
224,388
3117,1090
2765,2035
1088,198
2158,927
2252,772
1199,87
745,253
3521,1875
2919,950
71,26
1052,866
3452,1542
569,460
3085,1388
1140,655
1411,543
937,131
1215,639
1196,328
1393,527
3057,1189
1063,25
3883,2170
960,314
1546,176
3060,1387
718,2470
1107,840
1462,530
1566,499
216,457
376,472
3858,1978
2718,1366
595,903
701,450
2091,771
1731,388
548,570
3546,1590
2638,1361
405,493
589,448
421,647
3195,862
1518,473
969,522
1034,286
2972,900
1006,357
1365,767
985,109
479,9
3017,1365
238,469
3423,1450
816,221
1834,221
2857,861
978,756
907,636
45,456
3244,1509
1174,44
987,566
1181,15
3211,1312
93,160
1484,279
1271,638
3700,1795
45,230
1012,549
1065,486
885,1380
1539,64
1573,572
3375,1453
1604,597
2754,859
928,494
1324,219
995,882
1651,736
1091,583
770,702
2835,1275
763,202
753,394
102,311
3553,434
1665,438
693,38
3866,2085
3937,2034
2193,793
1341,352
3520,470
1599,563
660,44
739,100
946,1210
3352,1327
941,1287
1398,332
3782,1812
1247,48
1282,213
1525,942
1158,93
1628,153
2160,769
3363,1314
961,593
930,1359
1045,274
1614,723
788,583
38,97
2891,1799
443,50
1156,75
3746,2007
1136,1187
1031,1000
1105,813
774,547
3954,2109
2725,1383
1563,585
1070,471
2831,881
630,426
105,54
329,370
314,413
201,543
1470,205
3169,924
3085,1123
145,12
805,1076
1371,298
3284,855
1373,314
1530,613
3830,1767
2060,662
755,287
1541,542
346,663
1063,209
3637,181
1616,550
817,1411
1678,446
344,618
3427,2385
1009,55
3142,1416
1755,155
3374,1239
363,463
1681,207
3285,1228
82,296
242,470
1040,260
1507,58
1026,549
1546,535
59,636
3720,1691
3996,2582
1067,127
3448,599
3511,1572
1443,283
775,183
1334,118
1795,123
3803,2156
3355,1069
1353,325
881,723
1066,267
414,366
1170,254
2823,1201
3168,1190
359,864
1248,607
3488,1445
797,138
225,441
299,622
3138,1020
1587,1041
3720,1934
597,81
1606,746
1465,579
171,329
1632,864
1722,143
3404,1389
1106,814
2679,861
51,82
481,908
3665,2073
1603,507
3881,1988
489,431
3135,1403
797,838
1141,598
3251,1395
1371,400
1470,137
3372,1197
3200,1468
1650,893
3399,911
1135,1136
3485,1522
2136,795
159,642
1836,104
1643,125
351,814
1029,424
752,192
2908,1832
504,1272
2822,1554
93,361
897,1721
2782,903
519,358
3656,1828
373,356
1508,271
2084,520
2139,795
898,564
2819,924
313,674
824,663
3824,2003
88,140
3953,1884
3329,3008
3167,1343
1380,601
317,678
1432,309
661,661
1272,149
2790,855
3868,1947
1055,559
284,420
1629,503
3761,1817
964,229
1037,250
3013,1298
1132,601
942,260
1448,185
1219,726
2526,1226
2267,84
676,256
2793,1292
909,28
2551,1279
2251,1178
343,437
2010,1217
1127,579
3824,1857
3208,871
630,51
470,422
921,498
998,181
1417,242
1489,666
3346,1576
146,411
1878,107
1071,721
1245,374
3456,1622
290,614
438,374
983,390
26,99
729,505
2031,682
1059,565
774,75
139,435
805,22
1375,958
864,792
3096,1388
3219,1336
708,1526
3684,1696
3569,1650
612,398
1008,457
3378,1344
3009,1168
2812,1265
939,577
1647,32
477,368
1030,604
3468,1335
1149,644
1102,416
3014,1347
935,94
1430,505
2255,1153
3588,400
343,417
889,911
739,353
1701,549
3063,1062
755,431
1198,183
2597,1327
3963,2485
1231,735
3315,1282
1375,481
2958,938
818,152
1631,57
1069,887
2076,500
1681,412
2155,1295
1569,568
1074,215
1383,222
3153,1400
660,657
271,562
107,279
681,730
3113,1173
15,170
2293,828
2811,1744
1023,778
1702,44
757,198
3055,926
1411,839
3465,1648
967,374
882,1411
2746,1350
3241,1436
706,740
1128,1165
1372,955
3698,1910
549,599
355,376
1061,471
2365,167
3860,1810
3915,2025
952,537
1429,501
1712,140
1801,671
329,659
1045,309
968,511
3175,995
653,478
1881,44
634,513
637,78
854,104
8,65
6,16
1969,908
3265,1282
1190,140
1028,4
946,97
3405,1467
3986,2751
2174,786
843,128
20,506
2217,229
860,1485
768,727
2937,1192
2836,922
3839,2064
635,46
980,179
1053,323
1081,860
2813,1358
1361,276
1770,35
900,883
1044,813
175,427
1724,338
1376,889
1577,1037
3847,1992
726,751
676,83
88,266
3684,2091
448,769
1598,105
1081,271
3744,1841
3185,1301
3214,1305
3874,1754
1327,354
698,1331
979,237
2258,779
679,397
