x,y
562,17
3917,997
2931,126
664,2404
2582,94
395,2746
2681,96
2602,145
2901,238
3577,1978
3638,2260
2949,339
3576,2267
2340,68
3528,2166
2900,164
903,3187
3023,222
3107,2346
2943,22
2676,255
3017,1421
519,1691
102,3013
342,2536
2407,149
3573,2141
3583,1943
660,1725
3305,1767
3252,1239
3438,1729
2530,182
63,2907
3121,241
759,524
3574,2010
1844,3741
3469,2248
2648,90
3158,301
743,94
3933,1649
1789,3834
2723,62
3630,2093
3940,748
2614,234
2801,69
2748,295
2722,258
641,1440
3553,2116
3653,2239
3573,1053
2901,91
3190,406
1895,3353
1577,3674
2761,1307
499,3091
75,2912
2909,141
2946,129
695,10
3276,1731
2534,85
1986,1855
3135,242
3429,422
684,3072
3938,636
3744,2285
2327,36
3430,1795
689,103
3190,1214
2505,137
700,2371
3594,2030
3362,1694
3129,366
3909,1527
2919,1499
2932,316
2525,158
3207,1284
3571,2027
3567,2122
3007,81
3523,1852
930,3362
3396,2449
2884,214
2760,244
2374,162
438,2753
1955,3853
3330,2301
2470,162
3576,1056
3628,2178
2901,154
3195,1289
3362,3777
3597,2253
2624,137
2575,153
519,299
2901,253
606,2565
2922,140
3277,1194
3748,1030
1062,590
2,2884
3190,1247
2685,1387
2922,137
2431,114
1243,843
3180,298
2925,183
1050,1918
1608,3643
187,2937
1674,3776
2927,256
2783,90
682,3745
3022,225
3178,1440
1810,3568
3643,2112
3176,1201
3404,397
3935,1638
93,44
2865,107
2799,243
27,2890
2936,103
3203,322
2711,72
2338,2164
2562,116
74,2893
457,2957
2915,152
827,1664
3526,2133
2840,315
2468,165
2680,190
289,2284
2705,1381
3258,282
1826,3980
1973,3135
2477,167
540,2501
2683,121
2821,156
55,1701
2862,306
904,3368
3818,524
994,2401
1909,3745
3732,25
3122,246
796,264
3160,1299
1874,3837
2521,64
794,2420
390,2965
2620,104
3715,1799
3206,247
2243,2112
2871,1434
2880,331
2914,148
2914,90
3263,1557
2899,40
2839,133
2878,336
623,85
422,108
2324,3791
2153,1725
20,4
3613,2195
2038,3711
2461,127
3177,1271
12,1573
1119,2179
537,3205
2877,175
2422,76
2639,229
2830,292
2620,156
3029,1471
3240,399
3974,1429
2672,66
2650,238
2619,83
3243,1137
1079,1977
1780,3547
3928,1553
2196,1756
617,3219
2636,162
3840,1097
2006,3643
3071,339
3530,2007
2988,1377
2888,321
881,2506
2840,1444
390,3014
2710,197
2949,206
3570,2256
705,2391
2457,169
2714,233
1165,3534
2450,106
2657,229
1157,2217
3141,1329
3163,373
28,2836
2871,333
3189,1171
1671,3871
304,2548
2788,225
2698,134
3820,1055
1167,802
2466,119
3575,2247
742,157
3668,2130
2765,1426
2966,265
3781,2275
2692,246
3069,354
3191,1665
2576,186
2169,1703
2890,252
3266,1112
1803,3497
2820,280
3205,3892
3152,265
2887,84
306,2541
3317,184
807,212
2760,202
2038,3074
2639,2532
3973,613
2784,265
2608,186
3544,2142
390,1712
602,2857
1478,2986
1253,1020
2450,162
3192,1195
2475,85
677,1547
3364,1038
2760,159
2927,139
2723,76
442,2934
3701,2254
3101,1317
2872,92
2933,30
2264,3774
2958,285
2195,1770
3813,39
3708,1808
1038,2385
3297,1777
3618,2077
257,3056
3593,2016
3437,1736
2699,1399
2865,48
2690,121
1024,2522
824,3206
3229,1255
336,2338
2587,138
3443,1747
2783,91
3180,1411
2745,65
3803,1039
2887,258
3626,2294
3126,1620
2708,1406
3000,1535
878,3333
2844,1455
2579,180
2960,1365
1454,3103
1471,3677
385,3012
2537,81
2642,1376
2787,84
621,3055
3772,1780
3310,144
3054,51
2985,1361
2823,173
3591,2239
154,1951
2655,97
1902,3784
2354,153
2895,121
3137,1638
2953,1508
2580,167
3629,2204
879,1704
729,114
3227,1256
3135,162
2846,142
2698,128
1715,3724
649,78
2689,207
506,3226
2814,1442
2028,3978
3571,2285
2790,116
3716,1771
2678,195
3638,2225
2698,130
3845,1104
2586,96
3071,1483
1212,989
2767,244
2897,188
2898,85
1812,3762
571,2435
1297,2764
2897,359
3088,1448
2730,149
3143,1476
3958,3981
2838,297
3041,1458
2536,83
2601,101
3211,1278
2694,1296
2706,164
3178,1320
1204,659
752,1595
2839,200
2782,247
2353,58
3475,1923
3061,1573
3062,1585
3591,2136
760,1584
2466,91
3538,2088
3570,2281
826,314
1431,3479
2816,187
3644,2177
3700,965
2743,80
3142,1235
2829,76
1412,3578
765,1572
2574,1248
3237,1571
3619,2253
969,431
713,2382
2874,192
2820,91
664,4
581,2478
2380,131
3419,1080
3896,592
2381,2211
2461,146
3958,1482
2216,1768
2254,3660
2521,208
2883,162
1925,3367
3483,2320
3554,1859
3635,2260
1063,2629
3116,1300
3192,426
1323,3682
547,3234
1128,588
559,2600
3849,1682
2826,56
1641,1696
3090,49
1161,2183
731,204
2913,236
1468,3804
3144,1478
3113,2315
3585,2188
3494,430
2812,161
2647,2563
131,3118
391,3028
