x,y
1016,1577
3606,3846
3899,3993
283,1276
3157,3039
3294,3334
47,3594
3593,3536
2144,1668
395,1290
2888,2584
509,3850
90,3088
2560,3413
1195,1401
138,3716
501,3855
3023,1971
3413,3914
985,2310
1901,1906
3982,3846
650,155
2750,3232
1074,3085
2683,3387
3054,2402
2273,762
1701,2920
1097,1396
99,3091
2004,2042
54,3703
2314,708
3220,3095
53,3158
1854,1623
1627,1424
2556,1938
3537,3805
2267,761
464,1513
22,3569
1683,2147
1215,3351
3716,3978
1220,3354
865,1669
947,3212
2505,3366
3243,3215
61,2223
365,3696
1886,2020
2784,3263
2291,736
1061,2366
3722,1996
3886,626
2511,1954
3280,2190
56,3604
3477,1939
1392,3358
3739,3997
3934,3965
2293,686
2023,2825
2906,3240
2869,3411
1921,1917
3145,3025
2176,1816
3369,1948
973,1324
3337,2114
39,3453
831,3026
1934,2901
1870,1567
1920,1923
20,695
3641,3573
3266,3150
1711,2049
2767,3532
1873,2848
2686,3938
3602,3858
943,1706
1071,3082
3918,3943
398,1279
1331,2704
1356,2674
2389,1776
2830,3617
426,3472
1640,3586
2049,2845
2288,731
293,3986
3890,1400
1655,1620
507,142
2209,1897
66,3690
2116,1910
2851,3505
2538,3347
3708,3995
1519,502
3268,2091
1214,3345
315,1441
434,3361
1941,2875
1042,3222
3964,329
2465,1834
1517,1759
2278,713
600,3244
3638,3986
64,3626
1976,1170
1430,2497
3407,1782
3229,1950
437,3376
3427,2110
3870,3999
3120,3012
3144,3001
3849,2442
2303,880
1368,3229
3612,3856
434,3354
905,1893
594,3625
3535,3761
2723,3354
63,3136
1729,3444
1174,1951
2316,719
717,3137
2740,3380
555,3780
854,3044
1203,1937
2269,753
3754,238
2012,1954
3674,3897
1121,1823
1020,1842
532,1444
1508,1800
1196,3108
2820,3455
1907,2041
454,1493
951,1782
181,3282
2140,1574
1784,3339
981,2310
1611,3560
3895,131
3262,3212
2499,1901
3971,1463
162,3290
594,3811
1268,1870
3739,3960
3957,1451
3767,3926
1886,2033
3610,3835
2450,1932
1041,1701
1398,2900
3593,3789
1273,2976
1208,1845
3710,3884
1848,1601
314,3984
2144,1610
707,3138
3585,3443
2035,3615
1649,3596
3877,3921
274,3996
1613,1692
1634,1588
3962,3981
623,3759
3892,3576
613,1847
2478,2390
3753,2191
2010,1956
1259,3592
3541,1205
1908,2891
3284,3183
3879,1385
2155,1489
2280,763
1274,1368
1686,3837
1917,1616
2175,1730
3721,1966
2764,3173
3168,3532
1364,1407
1988,1932
471,1518
2159,2382
2293,763
2716,3274
2282,699
1853,1602
2788,3551
639,3816
1653,2494
2021,1929
1632,3584
1633,1591
2872,3396
3269,3147
2705,952
982,3207
2648,956
2880,1725
2910,1997
694,3101
1349,3523
1475,1269
3372,2078
2562,1927
2645,1554
1391,2277
1628,1607
2032,2305
1652,1595
79,3680
609,3780
1409,3228
2420,3986
1908,1920
2416,2019
1686,2194
2752,3131
2764,3641
85,3046
2559,3420
2484,1921
1653,1452
1049,2380
2498,1967
1412,3381
933,1748
3068,2364
1050,3216
3641,3395
1516,1118
3662,3669
1053,3074
1381,3277
3267,3350
3106,3872
3658,3943
3219,2315
2278,730
3537,3900
2020,1960
1311,2989
582,1665
42,3578
