x,y
3504,2972
2235,911
2119,1710
2516,2065
2608,553
1256,293
155,243
2933,2023
1250,2031
2897,768
3759,3180
1525,1580
3053,1100
1126,2092
1598,341
2587,618
1549,19
58,186
1807,1690
56,3588
2166,1874
2224,2132
1342,2033
3449,1133
3111,1195
1882,1649
2186,2108
2722,501
2123,1151
1968,1594
682,2378
1791,426
1247,2041
607,2644
1640,86
2478,1927
1628,2164
3351,1922
3818,3669
3244,1817
3083,2076
1338,2160
11,1161
2730,335
949,2158
3297,1035
2499,490
2297,467
735,2185
3430,2881
2964,853
3670,2051
3486,2559
3591,1982
2539,475
3516,2782
3309,1356
3417,2397
1980,1652
663,383
1938,559
2504,2065
1759,1726
1911,1655
597,2602
508,2209
579,2565
345,371
458,83
2819,955
3483,1869
1573,412
1501,1710
1715,1988
2441,1876
3431,1353
1696,1526
3938,3030
3365,2903
3228,2019
3495,2315
553,354
1941,1647
2506,2064
3042,1541
208,1751
2023,750
3833,3229
665,2371
1680,1913
58,1818
2166,908
3946,2934
3193,2133
2498,876
3021,2267
2931,296
1474,1988
1496,1329
1916,758
210,1961
3466,2293
2690,1046
3457,2214
3132,2097
2214,204
843,2056
3390,2002
3281,1973
1490,1331
136,2422
3022,2181
2538,528
3733,2807
3677,2857
1509,2308
335,1778
251,2217
209,2667
778,319
951,2075
239,3550
3763,3128
3290,2894
1006,1957
2816,616
2854,965
2117,258
2690,2141
3049,1528
511,351
1254,166
3358,1903
907,1831
2456,1942
68,1835
3994,3148
3329,1518
1526,2370
3442,2673
1984,598
125,3528
2209,1526
3106,1318
3360,1841
2288,521
3047,1086
1838,1928
272,2277
1998,396
2118,1634
3748,2714
3487,2192
60,728
2311,831
33,3986
2473,1952
2224,599
2987,939
3644,3227
3584,2045
3678,2227
2587,469
3737,2852
2110,2101
3939,3016
2409,377
1815,1715
2626,1009
1550,2365
596,2337
3013,1111
2531,967
610,2092
3184,2335
2348,2041
2284,1243
133,3297
3034,1207
3051,1937
2207,17
32,2324
1873,1489
1511,1710
210,202
1721,1441
3,3600
1511,1305
553,1957
3322,1546
2628,522
3614,2085
3402,3332
3042,1462
1764,1761
212,2477
471,1747
2378,1912
37,3540
824,2043
98,3586
511,165
3754,3245
3207,2149
2137,1026
1806,597
3745,2815
3880,2689
441,42
1556,27
1501,1715
157,2625
1494,31
1036,2183
195,2669
1618,498
3577,1866
2475,662
2862,986
591,2606
3355,1990
1457,1711
2520,840
3591,2895
2445,98
1713,1462
3435,2905
2535,2067
649,2382
3120,1146
2655,755
2609,816
3445,1289
3796,3832
3386,2129
415,1744
2633,896
3355,1732
2949,2083
1731,1316
3520,1996
1757,1459
2081,1368
3331,1823
540,240
1857,1900
3041,1196
3455,2707
2422,2167
753,2081
3559,1856
1867,1501
1687,368
2805,257
1882,863
609,310
3758,2859
3727,2145
3016,1078
3775,2636
3374,1350
1880,678
1510,89
2126,241
3550,1819
1429,2192
3409,2138
3829,3403
2413,1933
71,3587
1743,2272
201,2481
3009,1925
2837,1993
1458,1609
3258,2337
3124,2102
1534,425
3425,1250
3955,2619
3267,1431
3649,2182
1357,2183
154,10
3979,3254
1220,1660
2284,1520
2388,880
3806,3526
2438,1062
160,3305
2723,2015
2578,607
3430,2037
2553,663
2212,228
783,1929
1592,1477
1944,285
1126,176
1693,1809
3290,2074
3456,2148
1546,2336
3546,1967
2768,375
1757,1458
3289,2114
3129,1174
2138,3829
3985,3129
1753,1720
2072,589
2905,2161
3480,3505
81,2471
2717,954
291,3188
255,3313
1706,1245
107,38
576,2531
2128,1180
1549,1461
218,1869
618,2383
2525,2057
1186,2253
3242,1424
3064,1426
2492,462
2951,2004
1719,1243
3361,1872
1923,780
2922,268
646,2259
2945,784
3885,3450
2911,584
3527,1854
2304,592
100,2088
298,279
2129,2119
2308,339
3601,2889
2600,820
3649,2689
2686,638
3161,1148
3823,3681
579,2191
1487,495
70,656
2321,316
1566,1679
2247,1267
1543,1358
368,3620
3479,2812
2062,198
1326,2276
3399,2799
3831,1956
3271,1638
3328,1382
