414,422
1978,2458
1276,2328
3302,3184
2352,2612
3640,2892
1310,1788
2536,1450
2412,3450
2134,862
3630,1910
1800,2452
2576,1498
450,454
2648,3414
2688,2428
3232,3514
3268,2002
790,396
2382,2856
3204,2222
1836,2526
1740,3816
1666,1950
546,408
2734,3454
3066,2310
2332,3364
1442,2756
2260,1274
1380,2632
2042,2840
2436,2694
3160,2178
2144,2754
488,420
2932,1590
3224,3180
1578,3800
1660,3840
42,1610
1672,3948
1846,3068
2184,2642
3220,2792
3196,3120
3686,2942
2658,1300
1832,984
3330,1620
3348,1582
2006,2810
2274,2002
2360,2908
2120,1992
3258,2034
2552,1530
1172,2802
642,3920
2574,3422
2720,3422
2310,1908
2912,2010
3466,2596
1284,2822
3414,1634
3798,3856
2016,514
3800,3890
1982,832
3458,1668
488,2258
2446,1516
2678,1482
2390,1194
3966,1262
2488,3430
2278,3524
1776,658
2704,1462
2002,3030
2792,3490
638,552
2638,3284
1224,2416
1990,2176
1888,2008
2612,1488
774,1784
1992,1060
2520,1734
3506,936
840,272
2002,1850
2426,1458
1658,3808
2052,2542
382,482
2298,2104
3520,1798
2148,1154
1702,2372
2290,3422
1622,2166
1882,3184
3090,2262
2532,2164
760,1554
2584,2786
3128,3298
2074,528
1150,3492
2140,960
3230,2264
514,370
2806,2208
1762,2496
2918,1574
