coordinates,cluster
00014_00013,0
00017_00016,1
00013_00003,7
00020_00009,5
00009_00002,5
00021_00014,1
00017_00008,5
00004_00003,0
00014_00024,-1
00009_00028,0
00008_00022,7
00005_00023,7
00009_00007,5
00018_00019,5
00004_00017,4
00007_00025,-1
00011_00026,7
00011_00003,0
00002_00014,6
00007_00012,0
00006_00023,1
00017_00014,0
00000_00019,5
00016_00011,1
00008_00002,5
00005_00008,0
00010_00001,5
00016_00025,7
00017_00013,0
00015_00014,0
00014_00003,1
00022_00006,0
00015_00010,5
00015_00024,7
00010_00026,4
00021_00008,5
00010_00014,0
00020_00008,4
00005_00003,7
00016_00012,0
00006_00005,0
00016_00020,0
00019_00024,5
00021_00013,1
00010_00005,2
00003_00011,0
00009_00023,7
00001_00018,7
00010_00009,0
00007_00017,-1
00012_00016,1
00013_00006,6
00019_00013,1
00004_00015,6
00007_00019,7
00012_00014,-1
00019_00003,5
00008_00021,2
00007_00002,6
00020_00017,0
00006_00008,0
00014_00011,5
00014_00007,5
00004_00019,6
00015_00020,5
00015_00001,5
00018_00011,6
00012_00025,7
00018_00005,2
00012_00020,5
00006_00027,6
00010_00020,5
00004_00016,7
00019_00023,0
00013_00016,2
00013_00011,0
00019_00008,5
00016_00021,5
00017_00000,0
00010_00024,7
00006_00004,0
00006_00009,0
00022_00012,0
00014_00002,0
00011_00005,2
00008_00008,0
00003_00004,0
00018_00016,0
00003_00014,1
00015_00021,5
00018_00014,0
00002_00015,6
00016_00000,0
00007_00028,5
00009_00022,7
00006_00014,1
00008_00011,0
00008_00013,0
00001_00013,7
00009_00021,4
00016_00005,-1
00010_00023,-1
00003_00005,5
00003_00010,0
00004_00008,0
00012_00001,1
00010_00002,1
00005_00024,7
00009_00003,5
00006_00002,5
00010_00000,5
00021_00009,5
00006_00006,5
00020_00016,0
00021_00012,5
00006_00003,5
00008_00015,6
00007_00022,6
00008_00016,-1
00008_00025,-1
00003_00007,0
00005_00011,1
00003_00013,6
00012_00026,7
00013_00014,0
00004_00021,6
00003_00018,4
00009_00005,1
00019_00010,6
00015_00011,5
00016_00016,1
00003_00021,-1
