ROI,cancer_dim1_entropy,cancer_dim1_number_of_points
CRUK0037_R5_ROI_1,0.0,0
CRUK0052_R4,0.6190387287602473,666
CRUK0037_R5_ROI_2,0.43412294810573465,70
CRUK0001_R3_ROI_1,0.31843381585125247,25
CRUK0009_R3_ROI_1,0.5902838636188849,499
CRUK0037_R4_ROI_2,0.21371651619839555,11
CRUK0002_R1_ROI_1,0.5171094089703712,180
CRUK0006_R1_ROI_1,-0.0,1
CRUK0001_R2_ROI_2,0.2002147468228329,8
CRUK0024_R7_ROI_1,0.5302188435466915,190
CRUK0004_R3_ROI_1,0.3868164135009994,37
CRUK0009_R3_ROI_2,0.5868974831307591,461
CRUK0036_R2_ROI_2,0.49420240579161534,139
CRUK0037_R2_ROI_2,0.0,0
CRUK0006_R2_ROI_2,0.0,0
CRUK0001_R2_ROI_1,0.3103969885655207,12
CRUK0036_R2_ROI_1,0.5044208118500321,185
CRUK0002_R1_ROI_2,0.46402420919640847,91
CRUK0034_R1_ROI_2,0.3682750790634218,25
CRUK0047_R1,-0.0,1
CRUK0006_R1_ROI_2,-0.0,1
CRUK0024_R8,0.3747677241188788,30
CRUK0041_R2_ROI_1,0.4106667742379434,42
CRUK0012_R1_ROI_2,0.4501233357697372,73
CRUK0034_R1_ROI_1,0.3932705416205716,42
CRUK0037_R4_ROI_1,0.43335433551883973,65
CRUK0001_R1_ROI_2,0.4563694239684293,98
CRUK0012_R1_ROI_1,0.3895657518750616,47
CRUK0052_R3,0.5507310203517966,294
CRUK0057_R2_ROI_1,0.2640447092221079,9
CRUK0009_R4_ROI_1,0.4796151464559389,161
CRUK0051_R4_ROI_1,0.28516759327243163,16
CRUK0024_R7_ROI_2,0.47443703203229876,109
CRUK0001_R3_ROI_2,0.25651231838464317,11
CRUK0046_R3_ROI_1,0.5944769171489241,557
CRUK0009_R2,0.5625910604101956,328
CRUK0048_R2,0.3712477181437794,34
CRUK0034_R3,0.554588602955758,276
CRUK0036_R1_ROI_2,0.4972177938338715,141
CRUK0002_R2_ROI_2,0.44684924115377184,65
CRUK0015_R1,0.49008073470765395,127
CRUK0046_R3_ROI_2,0.5502093241816611,274
CRUK0041_R2_ROI_2,0.298303784143635,19
CRUK0005_R3,0.0,0
CRUK0010_R1_ROI_2,0.282001286286039,15
CRUK0036_R3_ROI_2,0.42317068495905286,56
CRUK0010_R1_ROI_1,0.31522053666425787,13
CRUK0046_R4_ROI_2,0.53633699223352,252
CRUK0010_R2,0.5049028256037421,134
CRUK0036_R1_ROI_1,0.5153445236532309,208
CRUK0001_R1_ROI_1,0.08168699711687953,2
CRUK0052_R1_ROI_1,0.4943214827606248,149
CRUK0002_R3_ROI_2,0.3262556162474371,15
CRUK0015_R2,0.5395015100931259,195
CRUK0024_R2,0.3265383220787519,32
CRUK0057_R2_ROI_2,0.2829951340118434,16
CRUK0005_R1,0.0,0
CRUK0052_R1_ROI_2,0.5244885395220943,189
CRUK0038_R1,0.18348387335668895,6
CRUK0002_R2_ROI_1,0.3501180638385835,22
CRUK0005_R4,0.11436822173490198,3
CRUK0004_R3_ROI_2,0.3457275858629747,34
CRUK0036_R3_ROI_1,0.4563887607882058,100
CRUK0002_R3_ROI_1,0.42340546751078884,56
CRUK0009_R4_ROI_2,0.40489381221807386,70
CRUK0003_R6,0.22385852492132502,5
CRUK0037_R2_ROI_1,0.14681665654007928,2
CRUK0046_R4_ROI_1,0.5894330579619155,487
CRUK0051_R4_ROI_2,0.3609489604450631,27
CRUK0006_R2_ROI_1,0.15028546223743572,3
CRUK0024_R1,0.5471389652205455,168
