ROI,cancer_dim1_PCA_coord1,cancer_dim1_PCA_coord2
CRUK0037_R5_ROI_1,9.966318249764487e-5,3.430699572689218e-5
CRUK0052_R4,-0.0005643891315332055,0.00015693245567575186
CRUK0037_R5_ROI_2,4.999581828041966e-5,-2.0492080582862865e-5
CRUK0001_R3_ROI_1,9.621218270106422e-5,1.9810225802091043e-5
CRUK0009_R3_ROI_1,-0.00042619803570660133,5.4528081971372395e-5
CRUK0037_R4_ROI_2,9.992851972649201e-5,3.2694702672532426e-5
CRUK0002_R1_ROI_1,-0.0001165445038201767,-0.0001262185942694406
CRUK0006_R1_ROI_1,9.911185884619212e-5,3.308611719272547e-5
CRUK0001_R2_ROI_2,0.00010036607842488916,3.3756350832009115e-5
CRUK0024_R7_ROI_1,-0.00014329041778770733,-8.208212777108836e-5
CRUK0004_R3_ROI_1,7.147940707350535e-5,-3.0978650071885472e-6
CRUK0009_R3_ROI_2,-0.000403723147709919,6.416307133358716e-5
CRUK0036_R2_ROI_2,-4.922100040160565e-5,-0.00014274058192631324
CRUK0037_R2_ROI_2,9.966318249764487e-5,3.430699572689218e-5
CRUK0006_R2_ROI_2,9.966318249764487e-5,3.430699572689218e-5
CRUK0001_R2_ROI_1,9.664453064334607e-5,2.826525252811829e-5
CRUK0036_R2_ROI_1,-0.00013307211015478848,-7.824624495737159e-5
CRUK0002_R1_ROI_2,1.4640410103971875e-5,-5.219235516226706e-5
CRUK0034_R1_ROI_2,9.581905796040137e-5,1.925033456446688e-5
CRUK0047_R1,9.966318249764487e-5,3.430699572689218e-5
CRUK0006_R1_ROI_2,9.972856428117832e-5,3.4383663776890386e-5
CRUK0024_R8,9.38061998398037e-5,1.4201097123378587e-5
CRUK0041_R2_ROI_1,6.487873977854848e-5,-1.1630896930004103e-5
CRUK0012_R1_ROI_2,4.1067502034206644e-5,-4.117714513361213e-5
CRUK0034_R1_ROI_1,8.047274034423194e-5,-2.7600510522865177e-5
CRUK0037_R4_ROI_1,6.2286651081705e-5,5.720240552421933e-6
CRUK0001_R1_ROI_2,4.6731614029940273e-5,8.317490979884489e-6
CRUK0012_R1_ROI_1,8.637740724779936e-5,-1.4345979071750354e-5
CRUK0052_R3,-0.0001364517902452398,-6.4130684753690935e-6
CRUK0057_R2_ROI_1,9.809993512947999e-5,3.2408439975125674e-5
CRUK0009_R4_ROI_1,-3.958233975845578e-5,8.831490296761238e-6
CRUK0051_R4_ROI_1,9.961151786264172e-5,2.3284491802559393e-5
CRUK0024_R7_ROI_2,6.367562928408231e-7,-7.625212977893311e-5
CRUK0001_R3_ROI_2,9.853249754374966e-5,2.7382816087683765e-5
CRUK0046_R3_ROI_1,-0.0004112242468628622,4.6735695923514324e-5
CRUK0009_R2,-0.0001906278884455605,7.271060603621713e-5
CRUK0048_R2,7.233729643100765e-5,7.204758796346287e-6
CRUK0034_R3,-0.00011793175502027789,-4.680178674615945e-5
CRUK0036_R1_ROI_2,-7.07627876826942e-5,-0.00014421121520284366
CRUK0002_R2_ROI_2,5.741927831909241e-5,-3.353990842466151e-5
CRUK0015_R1,3.5524430038446084e-5,2.985131190854884e-5
CRUK0046_R3_ROI_2,-0.0001449354724481829,-4.4742135668749373e-5
CRUK0041_R2_ROI_2,9.171108958809392e-5,2.799291365658479e-5
CRUK0005_R3,9.966318249764487e-5,3.430699572689218e-5
CRUK0010_R1_ROI_2,9.712925062527707e-5,2.483105496683176e-5
CRUK0036_R3_ROI_2,7.260463346763003e-5,-3.0346926719847467e-5
CRUK0010_R1_ROI_1,9.381038417175892e-5,2.3803431677435875e-5
CRUK0046_R4_ROI_2,-0.00016421774938439002,-0.00010202496497261973
CRUK0010_R2,-3.845611218534353e-5,-2.8693517502668205e-5
CRUK0036_R1_ROI_1,-0.00018278657719934162,-6.954781194160074e-5
CRUK0001_R1_ROI_1,9.99966268748999e-5,3.4754439276884514e-5
CRUK0052_R1_ROI_1,-4.8284733309864255e-5,-9.557294576005667e-5
CRUK0002_R3_ROI_2,9.888043414095446e-5,2.978409602535824e-5
CRUK0015_R2,-4.723772032921533e-5,1.0910210812114819e-5
CRUK0024_R2,8.633067030533646e-5,2.7612997422890472e-5
CRUK0057_R2_ROI_2,9.136768574230713e-5,1.947794480257309e-5
CRUK0005_R1,9.966318249764487e-5,3.430699572689218e-5
CRUK0052_R1_ROI_2,-8.465562866769399e-5,7.962682470858036e-6
CRUK0038_R1,0.00010000160444853412,3.501717825247852e-5
CRUK0002_R2_ROI_1,9.211124978663906e-5,1.6758768228512757e-5
CRUK0005_R4,9.966336495482424e-5,3.430744418850723e-5
CRUK0004_R3_ROI_2,6.560780879181386e-5,1.1613293156982122e-6
CRUK0036_R3_ROI_1,1.8121534788436172e-5,-5.47073436959071e-5
CRUK0002_R3_ROI_1,5.243917193452383e-5,-6.0548861821032145e-5
CRUK0009_R4_ROI_2,4.37070249849246e-5,1.4165167960590368e-6
CRUK0003_R6,9.98705818784373e-5,3.4567184581584774e-5
CRUK0037_R2_ROI_1,9.967106054574229e-5,3.432390135815792e-5
CRUK0046_R4_ROI_1,-0.00038190431226047715,8.259707459700966e-6
CRUK0051_R4_ROI_2,9.436381275544153e-5,1.4652887917346835e-5
CRUK0006_R2_ROI_1,9.969765492389064e-5,3.437721300519206e-5
CRUK0024_R1,-6.127627279668577e-5,1.1894425637102627e-5
