ROI,ECM_leukocytes_dim0_PCA_coord1,ECM_leukocytes_dim0_PCA_coord2
CRUK0052_R4,3.5838285089580596e-5,-9.68918893771386e-6
CRUK0037_R5_ROI_2,1.908540213116349e-5,8.77915343335028e-6
CRUK0001_R3_ROI_1,1.4787038273319189e-5,4.917172809565167e-5
CRUK0009_R3_ROI_1,5.1649423295699985e-5,-7.979480134229871e-6
CRUK0002_R1_ROI_1,3.633904769771038e-5,-2.158770879356138e-5
CRUK0001_R2_ROI_2,-3.997692984574068e-5,1.9375456068766103e-5
CRUK0024_R7_ROI_1,1.695986942315493e-5,5.197384775810989e-6
CRUK0004_R3_ROI_1,8.56896191297724e-6,-7.989650385142167e-7
CRUK0009_R3_ROI_2,-2.214704149011283e-5,-1.5720358435025084e-5
CRUK0006_R2_ROI_2,-2.9691483704083563e-5,-2.9113089136016602e-5
CRUK0001_R2_ROI_1,-1.64174442497978e-5,2.5796210108403862e-5
CRUK0036_R2_ROI_1,7.995583157393382e-5,-2.0933791431878893e-6
CRUK0002_R1_ROI_2,3.796252845914169e-5,-1.7909587415582106e-5
CRUK0034_R1_ROI_2,-9.522506609051511e-5,-1.7134380556200737e-5
CRUK0024_R8,5.758222474291578e-5,4.211529024871793e-5
CRUK0041_R2_ROI_1,5.123929904068263e-5,4.103309009485041e-5
CRUK0012_R1_ROI_2,-2.4359539299757773e-5,-1.1217722850204624e-5
CRUK0034_R1_ROI_1,-0.00010539586223196117,-1.1762243282711818e-5
CRUK0001_R1_ROI_2,-3.825389926982499e-5,-2.901674731605872e-5
CRUK0012_R1_ROI_1,-0.0001023035500401691,5.328233169629997e-6
CRUK0052_R3,1.422782003087193e-5,-3.916253638285045e-6
CRUK0057_R2_ROI_1,-9.793810267334675e-5,-1.4688580559670105e-5
CRUK0009_R4_ROI_1,-1.4487614247775075e-5,-2.634677112478278e-5
CRUK0051_R4_ROI_1,-5.249007431587352e-5,-1.0249906915730165e-5
CRUK0024_R7_ROI_2,-6.667709723513429e-5,3.831676596801177e-5
CRUK0001_R3_ROI_2,2.1272555900334888e-5,4.281488544447313e-5
CRUK0046_R3_ROI_1,-1.1272880054408315e-5,2.474954470209885e-5
CRUK0009_R2,-3.18165214765138e-5,-9.013896626167239e-6
CRUK0048_R2,2.6740278072386472e-5,1.1564688202183702e-5
CRUK0034_R3,-0.00013454051966983922,-2.7755418125128956e-5
CRUK0036_R1_ROI_2,7.057292286915822e-5,-2.4467507304415193e-5
CRUK0002_R2_ROI_2,6.237341917719799e-5,4.36570914457872e-6
CRUK0015_R1,-3.970857707188181e-5,-1.2039784571441144e-5
CRUK0046_R3_ROI_2,5.463028308450159e-6,-1.7950711196191912e-6
CRUK0041_R2_ROI_2,2.398631108568187e-5,4.25225972211367e-5
CRUK0010_R1_ROI_2,5.5134804122560664e-5,3.173053066126448e-6
CRUK0036_R3_ROI_2,6.347268108280646e-5,-5.0661973253434396e-5
CRUK0010_R1_ROI_1,5.4053017308482195e-5,-1.3041693843574742e-5
CRUK0046_R4_ROI_2,3.0068151141724293e-5,-1.1534723126791746e-5
CRUK0010_R2,4.779217137533055e-5,-1.1718260917994438e-5
CRUK0036_R1_ROI_1,5.568871183959644e-5,-2.727127693006802e-5
CRUK0001_R1_ROI_1,-5.920685699460523e-5,3.124012145047936e-5
CRUK0052_R1_ROI_1,1.6332974565823267e-5,1.3696012591937795e-6
CRUK0024_R2,-2.547322481860552e-5,4.439270446717682e-5
CRUK0015_R2,1.1403081875730128e-5,1.1454786277658294e-7
CRUK0057_R2_ROI_2,-6.829609114879351e-5,2.330487085022941e-6
CRUK0052_R1_ROI_2,2.8791506082730657e-5,1.6788049676593106e-5
CRUK0002_R2_ROI_1,2.9207075953679642e-5,-7.066374242528067e-7
CRUK0004_R3_ROI_2,5.458256593499926e-5,-1.365935357402849e-5
CRUK0036_R3_ROI_1,5.703847317534544e-5,-1.758916925171512e-5
CRUK0002_R3_ROI_1,8.820710343291946e-5,-5.916800067611412e-6
CRUK0009_R4_ROI_2,-7.943677406383536e-5,3.509808547445614e-6
CRUK0003_R6,-1.9659137686259244e-5,3.0017354136283514e-5
CRUK0046_R4_ROI_1,2.554756971168459e-5,-2.033754844065828e-5
CRUK0051_R4_ROI_2,-3.7547097316024565e-6,5.8677751256864595e-6
CRUK0006_R2_ROI_1,-3.023383682518462e-5,-5.850871999433156e-6
CRUK0024_R1,-4.3161300452152465e-5,-1.734988950063934e-5
