ROI,ECM_cancer_dim0_PCA_coord1,ECM_cancer_dim0_PCA_coord2
CRUK0052_R4,-9.886669793024826e-5,4.803169750023482e-5
CRUK0037_R5_ROI_2,-2.998848639902046e-5,1.8012776715563174e-5
CRUK0001_R3_ROI_1,-8.55144432848044e-5,-1.4465498027288939e-5
CRUK0009_R3_ROI_1,-6.468147047536112e-5,5.1622311381641556e-5
CRUK0002_R1_ROI_1,-2.232008407557648e-5,2.5238922767869877e-6
CRUK0001_R2_ROI_2,5.536505644897325e-6,-4.839939169193429e-5
CRUK0024_R7_ROI_1,5.2043287359215324e-5,-1.6746135685319787e-5
CRUK0004_R3_ROI_1,0.00012314318976161873,5.1993890126052255e-5
CRUK0009_R3_ROI_2,-5.294945334675508e-5,3.8224503656188775e-5
CRUK0036_R2_ROI_2,1.1687558004182408e-5,-1.645177702797065e-5
CRUK0036_R2_ROI_1,6.066331705840458e-5,-1.773520866405195e-5
CRUK0001_R2_ROI_1,2.5977752423571774e-6,-2.365028506197543e-5
CRUK0002_R1_ROI_2,1.893403907076159e-5,-7.013147697254756e-5
CRUK0034_R1_ROI_2,-0.00010491779137972058,-4.297015842506535e-5
CRUK0024_R8,-1.6484190207734952e-5,-5.2808339476438266e-5
CRUK0041_R2_ROI_1,-1.3671731645969806e-5,1.528596498526018e-5
CRUK0012_R1_ROI_2,-5.802395385147475e-5,-2.2669042125408975e-5
CRUK0034_R1_ROI_1,-0.00010595411819784798,-4.3879358526775737e-5
CRUK0037_R4_ROI_1,-1.4552706303850334e-5,9.15472420135649e-5
CRUK0001_R1_ROI_2,-1.1976989397990616e-5,1.7427576916590026e-5
CRUK0012_R1_ROI_1,-0.00014294730183404814,2.908973551894539e-5
CRUK0052_R3,8.779027626123238e-5,7.396891368700024e-6
CRUK0057_R2_ROI_1,-4.744404638084857e-6,-4.76534571891309e-5
CRUK0009_R4_ROI_1,1.5127128915673092e-5,2.1726029667053067e-5
CRUK0051_R4_ROI_1,-8.652193038604388e-5,3.191032549773427e-5
CRUK0024_R7_ROI_2,-6.925579124900535e-5,-8.64379917915024e-6
CRUK0001_R3_ROI_2,-1.0491114946731234e-5,-6.216895338501277e-5
CRUK0046_R3_ROI_1,-1.2426656307820466e-5,-1.938630049110368e-5
CRUK0009_R2,9.826132185935288e-5,5.527173588340654e-5
CRUK0048_R2,2.0120229375119715e-5,-3.616294390519714e-6
CRUK0034_R3,-0.0002232884387734819,8.561383338505435e-5
CRUK0036_R1_ROI_2,1.3045684292503449e-5,-4.775033446748003e-5
CRUK0002_R2_ROI_2,-6.559446794588741e-5,-2.4506456931412746e-5
CRUK0015_R1,-3.0354791289271035e-6,-9.82793854086417e-6
CRUK0046_R3_ROI_2,-2.939134163527588e-5,-5.518828578017044e-7
CRUK0041_R2_ROI_2,2.3782816692057448e-6,-7.107992974511757e-5
CRUK0010_R1_ROI_2,5.235959521000656e-5,-1.2935241276252191e-5
CRUK0036_R3_ROI_2,0.00011405695665291274,7.19948349242665e-5
CRUK0010_R1_ROI_1,0.00010447348450419095,1.7189705491674683e-5
CRUK0046_R4_ROI_2,1.2778461910310902e-5,-5.833060946580878e-5
CRUK0010_R2,0.0001032621719309089,1.935979396514279e-5
CRUK0036_R1_ROI_1,8.320962644261478e-5,-3.309499809827452e-5
CRUK0001_R1_ROI_1,7.629026993829202e-5,-1.103451582194828e-5
CRUK0052_R1_ROI_1,-7.503526214309944e-5,1.55879953829053e-5
CRUK0002_R3_ROI_2,-3.9871614006098215e-5,-4.035771965750412e-5
CRUK0015_R2,1.4303928222001107e-5,2.586280235608843e-5
CRUK0024_R2,4.515024906856902e-5,4.998091239885754e-5
CRUK0057_R2_ROI_2,4.752548196503401e-5,3.782752924120887e-5
CRUK0052_R1_ROI_2,3.560847980149126e-5,-2.06419449626434e-5
CRUK0002_R2_ROI_1,4.45834772421668e-6,-3.0600130423313424e-5
CRUK0004_R3_ROI_2,0.00014073372806022974,6.466760672582043e-5
CRUK0036_R3_ROI_1,1.1606726571103465e-5,3.3336511953862564e-5
CRUK0002_R3_ROI_1,-6.880105562748964e-6,-6.785907008123398e-5
CRUK0009_R4_ROI_2,-1.3436504224867529e-5,4.038222555315008e-5
CRUK0003_R6,0.00012204945334161378,-3.394634055046357e-5
CRUK0046_R4_ROI_1,-8.277984789822699e-5,6.604516135045411e-6
CRUK0051_R4_ROI_2,-9.479739455899436e-6,-7.103560500731485e-6
CRUK0006_R2_ROI_1,0.00012340248355357643,9.78897584639391e-7
CRUK0024_R1,-4.75159227789952e-5,3.154441109510586e-5
