ROI,ECM_cancer_dim1_entropy,ECM_cancer_dim1_number_of_points
CRUK0052_R4,0.4445795287785797,41
CRUK0037_R5_ROI_2,0.3429494542313848,21
CRUK0001_R3_ROI_1,0.3959529039929852,28
CRUK0009_R3_ROI_1,0.41312650560237124,38
CRUK0002_R1_ROI_1,0.3763202740129943,29
CRUK0001_R2_ROI_2,0.3474770530816129,20
CRUK0024_R7_ROI_1,0.3723158673809154,21
CRUK0004_R3_ROI_1,0.2840425175434015,7
CRUK0009_R3_ROI_2,0.3815668813744378,29
CRUK0036_R2_ROI_2,0.3492847233588374,22
CRUK0036_R2_ROI_1,0.32398369862491216,14
CRUK0001_R2_ROI_1,0.3700855918399828,20
CRUK0002_R1_ROI_2,0.38575536066515903,23
CRUK0034_R1_ROI_2,0.4172390558024715,35
CRUK0024_R8,0.37669126660540975,23
CRUK0041_R2_ROI_1,0.4127478601497108,30
CRUK0012_R1_ROI_2,0.372982585377414,30
CRUK0034_R1_ROI_1,0.4224616326009111,32
CRUK0037_R4_ROI_1,0.34064936123390294,15
CRUK0001_R1_ROI_2,0.41061848836962817,29
CRUK0012_R1_ROI_1,0.432806206432749,46
CRUK0052_R3,0.31673977212617793,13
CRUK0057_R2_ROI_1,0.3583801520551917,22
CRUK0009_R4_ROI_1,0.38831220900511737,17
CRUK0051_R4_ROI_1,0.455847477285993,38
CRUK0024_R7_ROI_2,0.3998839219413472,35
CRUK0001_R3_ROI_2,0.3319871848692159,19
CRUK0046_R3_ROI_1,0.34822494306781454,19
CRUK0009_R2,0.2992481755386382,9
CRUK0048_R2,0.34566659243005887,18
CRUK0034_R3,0.4483703786959731,70
CRUK0036_R1_ROI_2,0.34386797418656084,19
CRUK0002_R2_ROI_2,0.40921285912703176,36
CRUK0015_R1,0.30287601832295613,14
CRUK0046_R3_ROI_2,0.35701162853433505,25
CRUK0041_R2_ROI_2,0.36788474576154834,21
CRUK0010_R1_ROI_2,0.36919281638398527,20
CRUK0036_R3_ROI_2,0.17918064686606625,4
CRUK0010_R1_ROI_1,0.2629178038823787,8
CRUK0046_R4_ROI_2,0.34946871853294087,20
CRUK0010_R2,0.26763561928676866,8
CRUK0036_R1_ROI_1,0.2715312503276535,11
CRUK0001_R1_ROI_1,0.27380945819546443,12
CRUK0052_R1_ROI_1,0.4225560301526241,37
CRUK0002_R3_ROI_2,0.39677091580249946,28
CRUK0015_R2,0.36368440436933325,19
CRUK0024_R2,0.35799336033355283,12
CRUK0057_R2_ROI_2,0.3140930693087525,15
CRUK0052_R1_ROI_2,0.417243777831514,26
CRUK0002_R2_ROI_1,0.3959513851911637,28
CRUK0004_R3_ROI_2,0.21076344135646155,5
CRUK0036_R3_ROI_1,0.3592405393934287,22
CRUK0002_R3_ROI_1,0.37299561681162036,28
CRUK0009_R4_ROI_2,0.34559906665176604,19
CRUK0003_R6,0.31841223621383613,12
CRUK0046_R4_ROI_1,0.38165558340051664,35
CRUK0051_R4_ROI_2,0.3862541023087877,25
CRUK0006_R2_ROI_1,0.2798577481333243,10
CRUK0024_R1,0.3441498646845932,20
