ROI,cancer_leukocytes_dim1_entropy,cancer_leukocytes_dim1_number_of_points
CRUK0052_R4,0.4038410164807067,26
CRUK0037_R5_ROI_2,0.2957312575842356,9
CRUK0001_R3_ROI_1,0.2992425552539729,11
CRUK0009_R3_ROI_1,0.2686172376555013,11
CRUK0037_R4_ROI_2,0.25249270049186695,10
CRUK0002_R1_ROI_1,0.3467391466834914,15
CRUK0001_R2_ROI_2,0.2040120781240527,10
CRUK0024_R7_ROI_1,0.3898288636926525,30
CRUK0004_R3_ROI_1,0.34418467686364135,13
CRUK0009_R3_ROI_2,0.350980144435584,24
CRUK0036_R2_ROI_1,0.20601996730026606,6
CRUK0001_R2_ROI_1,0.21317545703064258,10
CRUK0002_R1_ROI_2,0.23017777214012639,6
CRUK0034_R1_ROI_2,0.3816495133793639,23
CRUK0024_R8,0.2525116241205078,7
CRUK0041_R2_ROI_1,0.19308916298697637,11
CRUK0012_R1_ROI_2,0.3484729384511227,23
CRUK0034_R1_ROI_1,0.4115974803605427,35
CRUK0001_R1_ROI_2,0.35181334311250057,17
CRUK0012_R1_ROI_1,0.36918789927971285,21
CRUK0052_R3,0.2807599687666469,10
CRUK0057_R2_ROI_1,0.32378904307103623,16
CRUK0009_R4_ROI_1,0.38438430528005085,21
CRUK0051_R4_ROI_1,0.3546630773797181,15
CRUK0024_R7_ROI_2,0.37961698873607463,23
CRUK0001_R3_ROI_2,0.224832758891385,6
CRUK0046_R3_ROI_1,0.38053567304114033,26
CRUK0009_R2,0.3043984358463466,15
CRUK0048_R2,0.1723843264775106,4
CRUK0034_R3,0.36499508968324684,30
CRUK0036_R1_ROI_2,0.19857105605947212,8
CRUK0002_R2_ROI_2,0.1939208205788011,8
CRUK0015_R1,0.2268254055421849,10
CRUK0046_R3_ROI_2,0.2964401754374707,16
CRUK0041_R2_ROI_2,0.25039521429290185,7
CRUK0010_R1_ROI_2,0.13674009471920778,3
CRUK0036_R3_ROI_2,0.30891868822393403,12
CRUK0010_R1_ROI_1,0.1251414749535984,4
CRUK0046_R4_ROI_2,0.37081549023549326,29
CRUK0010_R2,0.13982459106713244,4
CRUK0036_R1_ROI_1,0.08253289663047442,3
CRUK0001_R1_ROI_1,0.28401731474141856,6
CRUK0052_R1_ROI_1,0.37439174925278373,17
CRUK0024_R2,0.2595828832747144,7
CRUK0015_R2,0.3724189298336375,25
CRUK0057_R2_ROI_2,0.3052610604568431,18
CRUK0052_R1_ROI_2,0.3441340622680551,17
CRUK0038_R1,0.33845779677369175,12
CRUK0002_R2_ROI_1,0.22008170694352858,6
CRUK0004_R3_ROI_2,0.1980440731624168,7
CRUK0036_R3_ROI_1,0.2875604384555122,10
CRUK0002_R3_ROI_1,0.3129596665462808,11
CRUK0009_R4_ROI_2,0.3368960520674608,16
CRUK0003_R6,0.3361653783140652,13
CRUK0046_R4_ROI_1,0.36337994409777885,29
CRUK0051_R4_ROI_2,0.27249602105375675,10
CRUK0006_R2_ROI_1,0.20620728878458497,4
CRUK0024_R1,0.43676258489181463,41
