ROI,cancer_dim0_umap_coord1,cancer_dim0_umap_coord2
CRUK0037_R5_ROI_1,-9.83153950715807,-5.774606201232237
CRUK0052_R4,14.86677741491734,4.5534390194724
CRUK0037_R5_ROI_2,2.8098114620229966,4.69850375358942
CRUK0001_R3_ROI_1,-4.32886872819024,-0.1610577268389354
CRUK0009_R3_ROI_1,14.971328941462884,4.657823339320611
CRUK0037_R4_ROI_2,-4.780770470661495,-1.695665941209514
CRUK0002_R1_ROI_1,-1.8612674856381348,9.405837175984752
CRUK0006_R1_ROI_1,-9.54277684170178,-5.677841939226071
CRUK0001_R2_ROI_2,-7.800385619295388,-4.037920596822027
CRUK0024_R7_ROI_1,-1.2506553715096105,9.281166700269909
CRUK0004_R3_ROI_1,0.5953232882797906,1.4204672657503434
CRUK0009_R3_ROI_2,15.05324084899856,4.739682995390648
CRUK0036_R2_ROI_2,-2.1938322159455867,9.672917382339982
CRUK0037_R2_ROI_2,-9.77896767789497,-6.221501744315274
CRUK0006_R2_ROI_2,-9.947242297820967,-6.216651648423104
CRUK0001_R2_ROI_1,-2.3255378189124283,-1.029385255485174
CRUK0036_R2_ROI_1,-1.607474676825821,9.315503481476377
CRUK0002_R1_ROI_2,-0.46963220012875556,4.687541149400911
CRUK0034_R1_ROI_2,-4.442459203879838,-0.2717540786403389
CRUK0047_R1,-9.494023899353973,-5.451274654798027
CRUK0006_R1_ROI_2,-10.066781469178725,-5.674841604159508
CRUK0024_R8,-4.563251451572381,-0.6703048373291417
CRUK0041_R2_ROI_1,0.7793373759457588,1.563595558259303
CRUK0012_R1_ROI_2,-0.3747496337066145,4.436197181884035
CRUK0034_R1_ROI_1,-0.18035216177283664,3.4920082819606963
CRUK0037_R4_ROI_1,2.882086714629899,4.702697113050929
CRUK0001_R1_ROI_2,2.7798888750312964,4.882427771885312
CRUK0012_R1_ROI_1,-0.36574554330704157,3.4957985268553493
CRUK0052_R3,-0.5925051552047605,9.68047407937379
CRUK0057_R2_ROI_1,-2.6378664451856144,-1.4760638636373193
CRUK0009_R4_ROI_1,4.310936187315658,5.604112591852145
CRUK0051_R4_ROI_1,-4.621587889748653,-0.6319798608885497
CRUK0024_R7_ROI_2,-0.5044394378504197,4.777712813335074
CRUK0001_R3_ROI_2,-7.664022175186656,-3.9269693549824876
CRUK0046_R3_ROI_1,15.115007714363502,4.801370166621379
CRUK0009_R2,-0.4800477649417947,9.7911834715134
CRUK0048_R2,0.7528226513926888,1.580979934044869
CRUK0034_R3,-0.365317158542079,9.61985350037112
CRUK0036_R1_ROI_2,-2.0722942397445356,9.638943046181181
CRUK0002_R2_ROI_2,-0.2221811353175565,3.6906654340712612
CRUK0015_R1,3.0481991893331455,4.912726098289172
CRUK0046_R3_ROI_2,-0.36853633139465175,9.447748039541192
CRUK0041_R2_ROI_2,-4.2738589887563405,-1.0065904070443659
CRUK0005_R3,-9.913592997639356,-6.1110661570736475
CRUK0010_R1_ROI_2,-4.611505552033011,-1.7871005569933378
CRUK0036_R3_ROI_2,-0.1712946081487459,3.71878240730896
CRUK0010_R1_ROI_1,-2.2808206468575105,-1.1118229229779757
CRUK0046_R4_ROI_2,-0.2573799987545947,9.33101335019885
CRUK0010_R2,4.168880186601326,5.450524827904561
CRUK0036_R1_ROI_1,-0.3294404803975269,9.173290740493336
CRUK0001_R1_ROI_1,-8.74656255724468,-4.732292025185917
CRUK0052_R1_ROI_1,-2.169925619613878,9.503754673262808
CRUK0002_R3_ROI_2,-4.578884963890608,-1.4045034820116178
CRUK0015_R2,4.264344534879016,5.55849296679023
CRUK0024_R2,-2.3860777066491115,-0.7480348340321834
CRUK0057_R2_ROI_2,-2.2655678531590753,-0.7848649544386817
CRUK0005_R1,-10.18201885909007,-5.8415262147198375
CRUK0052_R1_ROI_2,-0.9620855205696269,9.394304563290126
CRUK0038_R1,-8.121425006278542,-4.267332479351591
CRUK0002_R2_ROI_1,-2.3941594866606115,-1.2461180501027935
CRUK0005_R4,-9.065378679548315,-4.9607322994953424
CRUK0004_R3_ROI_2,0.7756099556368585,1.514055301848845
CRUK0036_R3_ROI_1,-0.378395173815092,4.609763743546273
CRUK0002_R3_ROI_1,-0.27640626035386223,3.907811089725418
CRUK0009_R4_ROI_2,2.87672676061181,4.758124811717097
CRUK0003_R6,-8.69473725957803,-4.671362245084674
CRUK0037_R2_ROI_1,-9.188270542767237,-5.094808831796572
CRUK0046_R4_ROI_1,15.095176281053632,4.781544640459402
CRUK0051_R4_ROI_2,-4.60468779708466,-0.45475693784928867
CRUK0006_R2_ROI_1,-8.706977858619256,-4.666133794449559
CRUK0024_R1,4.480487810552837,5.730849389687875
