ROI,cancer_dim1_umap_coord1,cancer_dim1_umap_coord2
CRUK0037_R5_ROI_1,7.496513861762683,7.308457742142486
CRUK0052_R4,7.925220878896771,-6.036801060719221
CRUK0037_R5_ROI_2,2.2815060401987237,2.968901663360949
CRUK0001_R3_ROI_1,5.388676421239882,4.658511644535612
CRUK0009_R3_ROI_1,8.068061860377808,-5.9082703716884
CRUK0037_R4_ROI_2,8.5865187875165,6.678945308402062
CRUK0002_R1_ROI_1,4.270168289308597,-5.686711847679734
CRUK0006_R1_ROI_1,7.259918658839121,7.099842017674754
CRUK0001_R2_ROI_2,6.134192044800784,5.278951899457455
CRUK0024_R7_ROI_1,4.343248323858197,-6.266845935002158
CRUK0004_R3_ROI_1,2.3135357032140034,3.2593937834779725
CRUK0009_R3_ROI_2,8.282790355474766,-5.682937438603127
CRUK0036_R2_ROI_2,4.282291683229261,-5.101108299466623
CRUK0037_R2_ROI_2,7.501220353526145,7.489675613229985
CRUK0006_R2_ROI_2,7.693217818413743,7.8518307395631854
CRUK0001_R2_ROI_1,7.534706424727199,6.432024527325182
CRUK0036_R2_ROI_1,4.247410841452955,-6.427362007876605
CRUK0002_R1_ROI_2,0.7766728669992874,-1.1259321205418713
CRUK0034_R1_ROI_2,4.979424936130191,4.9503434513981786
CRUK0047_R1,7.8662780661403735,7.3567598325427825
CRUK0006_R1_ROI_2,7.872478246940187,6.749878408260539
CRUK0024_R8,4.608544254523945,4.732912413417096
CRUK0041_R2_ROI_1,2.5060425233048895,3.2553228933088905
CRUK0012_R1_ROI_2,0.7374506783885583,-0.7111413822493438
CRUK0034_R1_ROI_1,0.8427997581546539,-0.2935449050964365
CRUK0037_R4_ROI_1,2.6441693044012515,3.420384815057487
CRUK0001_R1_ROI_2,2.8311396340487343,3.302100914041963
CRUK0012_R1_ROI_1,0.618582140038265,-0.038098408047842716
CRUK0052_R3,5.137857388428957,-7.599397449507153
CRUK0057_R2_ROI_1,8.178422334704754,6.268993831258042
CRUK0009_R4_ROI_1,5.933911663720502,-8.540649846163605
CRUK0051_R4_ROI_1,5.307804085317849,5.006799797102663
CRUK0024_R7_ROI_2,0.6421846632214401,-1.307545732620441
CRUK0001_R3_ROI_2,6.38604130374807,5.4433489433773845
CRUK0046_R3_ROI_1,8.094721313018052,-5.872856621479302
CRUK0009_R2,5.088112047138952,-7.553412126111646
CRUK0048_R2,4.137239208755726,4.7839785680516025
CRUK0034_R3,4.974301770450023,-7.41491288203487
CRUK0036_R1_ROI_2,4.216594567828791,-5.249051018706176
CRUK0002_R2_ROI_2,0.7449540124643351,-0.3868214290154408
CRUK0015_R1,3.2670597653997304,3.4783532992718493
CRUK0046_R3_ROI_2,4.785127822431049,-7.16861222858961
CRUK0041_R2_ROI_2,8.451574156529546,6.372196812901363
CRUK0005_R3,7.784056340842621,7.579637798684346
CRUK0010_R1_ROI_2,6.4349599178497385,6.148881320095954
CRUK0036_R3_ROI_2,0.45209812540015504,-0.031931193942259184
CRUK0010_R1_ROI_1,6.16833161727503,5.882573277239512
CRUK0046_R4_ROI_2,4.175094999471429,-6.062963115896345
CRUK0010_R2,6.05173156169078,-8.657070305261263
CRUK0036_R1_ROI_1,4.20413138776233,-6.152475580131383
CRUK0001_R1_ROI_1,7.939073317584651,6.657213866052676
CRUK0052_R1_ROI_1,4.154190662047464,-5.0059745135160085
CRUK0002_R3_ROI_2,5.324501136072574,5.211368260258524
CRUK0015_R2,6.030649376994138,-8.633906947186116
CRUK0024_R2,7.3178605462424855,6.181309703759268
CRUK0057_R2_ROI_2,6.388471044115628,5.57324416405342
CRUK0005_R1,7.317538365920289,7.692738881234357
CRUK0052_R1_ROI_2,5.66560560092788,-8.245632977488844
CRUK0038_R1,8.029162792076264,6.3606395770745
CRUK0002_R2_ROI_1,5.284749887342064,4.782853286138662
CRUK0005_R4,8.081278681637576,7.773113008271423
CRUK0004_R3_ROI_2,2.3900678932749457,3.215526561985754
CRUK0036_R3_ROI_1,0.7919865925358017,-1.160238087043999
CRUK0002_R3_ROI_1,0.5834915190970881,-0.7675917257455055
CRUK0009_R4_ROI_2,2.5371866331985946,3.7086089352422555
CRUK0003_R6,7.562477410513651,7.776945712271654
CRUK0037_R2_ROI_1,8.050236475022919,7.197001347919764
CRUK0046_R4_ROI_1,8.20459069641113,-5.763091422136454
CRUK0051_R4_ROI_2,4.6872746713495035,4.841271763612703
CRUK0006_R2_ROI_1,8.028757338034275,7.653408480581189
CRUK0024_R1,5.946770498036126,-8.552648077329284
