ROI,leukocytes_dim0_entropy,leukocytes_dim0_number_of_points
CRUK0037_R5_ROI_1,0.15193446219199286,5
CRUK0052_R4,0.4074696717600346,71
CRUK0037_R5_ROI_2,0.40514530155334677,74
CRUK0001_R3_ROI_1,0.38575278939224933,58
CRUK0009_R3_ROI_1,0.3681162809831215,56
CRUK0037_R4_ROI_2,0.3755114999989887,54
CRUK0002_R1_ROI_1,0.42621833367140793,89
CRUK0006_R1_ROI_1,0.5373026487624921,385
CRUK0001_R2_ROI_2,0.42661052295884583,88
CRUK0024_R7_ROI_1,0.4512576333528572,135
CRUK0004_R3_ROI_1,0.42498129102383897,94
CRUK0009_R3_ROI_2,0.44477272276185925,108
CRUK0036_R2_ROI_2,0.2923692769537967,18
CRUK0037_R2_ROI_2,0.4579605958169173,163
CRUK0006_R2_ROI_2,0.5431924693041007,437
CRUK0001_R2_ROI_1,0.43006344496177074,95
CRUK0036_R2_ROI_1,0.3425680079268346,39
CRUK0002_R1_ROI_2,0.36229501376972806,49
CRUK0034_R1_ROI_2,0.5950304990040286,908
CRUK0047_R1,0.2706342005204347,20
CRUK0006_R1_ROI_2,0.4919888204928847,218
CRUK0024_R8,0.3431579038667753,32
CRUK0041_R2_ROI_1,0.34827686760458476,35
CRUK0012_R1_ROI_2,0.5644044651453127,611
CRUK0034_R1_ROI_1,0.6136295019544581,1187
CRUK0037_R4_ROI_1,0.2283103348403637,13
CRUK0001_R1_ROI_2,0.5141748089971934,298
CRUK0012_R1_ROI_1,0.4984910700586444,233
CRUK0052_R3,0.41242966109726276,78
CRUK0057_R2_ROI_1,0.5466525161760436,429
CRUK0009_R4_ROI_1,0.5360326055833274,411
CRUK0051_R4_ROI_1,0.5223564157343712,315
CRUK0024_R7_ROI_2,0.4436469346638723,111
CRUK0001_R3_ROI_2,0.37014747865955266,43
CRUK0046_R3_ROI_1,0.5754678876014037,670
CRUK0009_R2,0.5172192458123549,287
CRUK0048_R2,0.3946231813732175,65
CRUK0034_R3,0.5841003198837319,771
CRUK0036_R1_ROI_2,0.34005292733502607,38
CRUK0002_R2_ROI_2,0.35700892451956745,42
CRUK0015_R1,0.5113287731626921,263
CRUK0046_R3_ROI_2,0.47083289309613,159
CRUK0041_R2_ROI_2,0.36203298322613436,42
CRUK0005_R3,0.30922691968708327,23
CRUK0010_R1_ROI_2,0.36940578209161923,46
CRUK0036_R3_ROI_2,0.4014828982337918,68
CRUK0010_R1_ROI_1,0.3174094170604851,22
CRUK0046_R4_ROI_2,0.4892504035930044,212
CRUK0010_R2,0.5040110367327718,241
CRUK0036_R1_ROI_1,0.39373615449681637,64
CRUK0001_R1_ROI_1,0.44912420101337786,129
CRUK0052_R1_ROI_1,0.48565420738331266,185
CRUK0002_R3_ROI_2,0.17061859084153483,6
CRUK0015_R2,0.4614268826064884,157
CRUK0024_R2,0.4036909497037684,71
CRUK0057_R2_ROI_2,0.5439399218420806,422
CRUK0005_R1,0.323352478253598,32
CRUK0052_R1_ROI_2,0.42198679619967344,86
CRUK0038_R1,0.5494949308661687,444
CRUK0002_R2_ROI_1,0.36996215335014765,44
CRUK0005_R4,0.2753979449779072,19
CRUK0004_R3_ROI_2,0.4044422858692952,70
CRUK0036_R3_ROI_1,0.39186619940093825,64
CRUK0002_R3_ROI_1,0.31024619869981934,22
CRUK0009_R4_ROI_2,0.4537266322579881,138
CRUK0003_R6,0.4208053585958285,91
CRUK0037_R2_ROI_1,0.42925379423554566,102
CRUK0046_R4_ROI_1,0.551039485077843,454
CRUK0051_R4_ROI_2,0.4917091142444929,213
CRUK0006_R2_ROI_1,0.5059342210630262,246
CRUK0024_R1,0.5812444347318992,688
