ROI,cancer_leukocytes_dim1_umap_coord1,cancer_leukocytes_dim1_umap_coord2
CRUK0052_R4,0.4133863380784962,5.317645431061788
CRUK0037_R5_ROI_2,0.7249911117798546,3.3491297042060317
CRUK0001_R3_ROI_1,-0.24314428619914358,1.9921633151365319
CRUK0009_R3_ROI_1,-3.147992403659908,3.4140051000989327
CRUK0037_R4_ROI_2,1.6419764352223651,4.201223628376822
CRUK0002_R1_ROI_1,0.31915650909686005,4.86645411088786
CRUK0001_R2_ROI_2,0.23656531539652964,3.1977580764195483
CRUK0024_R7_ROI_1,2.5821429956772204,6.08010204048002
CRUK0004_R3_ROI_1,-0.6285838373019383,4.739977942992017
CRUK0009_R3_ROI_2,1.7401812791139435,5.911313728352021
CRUK0036_R2_ROI_1,-2.9656626241567112,2.9695143771490238
CRUK0001_R2_ROI_1,-2.587820308303655,3.8595585886872747
CRUK0002_R1_ROI_2,-2.237465563478203,1.1737685834245126
CRUK0034_R1_ROI_2,2.343930788374874,5.428323573555341
CRUK0024_R8,-2.2984024367501927,1.233942553664522
CRUK0041_R2_ROI_1,-0.4962861636320432,2.9809149198529545
CRUK0012_R1_ROI_2,-0.49755197933030687,3.802875877358466
CRUK0034_R1_ROI_1,2.382862844441854,6.259062905898346
CRUK0001_R1_ROI_2,-1.0332554902990985,4.246456984689994
CRUK0012_R1_ROI_1,2.708701191833133,5.411217829220926
CRUK0052_R3,1.7682561641605314,4.371613778574437
CRUK0057_R2_ROI_1,0.1724375553179433,1.969062992251794
CRUK0009_R4_ROI_1,-1.0332440279620327,4.670921962593668
CRUK0051_R4_ROI_1,0.40797157454715977,4.1328055053072745
CRUK0024_R7_ROI_2,2.848573614677803,5.798836638975332
CRUK0001_R3_ROI_2,-1.7758400830439478,1.5722573243229416
CRUK0046_R3_ROI_1,2.1515905746919453,5.847294187625335
CRUK0009_R2,-0.799475102291127,5.151598045789887
CRUK0048_R2,-2.457949715978689,1.5567094159309942
CRUK0034_R3,3.145620599877083,5.478057789525313
CRUK0036_R1_ROI_2,-1.9628694126257726,3.1040532852854157
CRUK0002_R2_ROI_2,-0.8707363403679286,2.785646757888993
CRUK0015_R1,-2.176712746819132,3.0875274312261873
CRUK0046_R3_ROI_2,-1.4769460329024098,3.7619014154192505
CRUK0041_R2_ROI_2,-2.0062966947895045,1.6544294947483962
CRUK0010_R1_ROI_2,-2.0715090600017576,2.2740710956063044
CRUK0036_R3_ROI_2,0.6585047575568792,3.538901154317184
CRUK0010_R1_ROI_1,-2.4343538561204245,1.9294404489543646
CRUK0046_R4_ROI_2,2.086804715939857,5.148785390675498
CRUK0010_R2,-3.28659174806159,3.6350010745719934
CRUK0036_R1_ROI_1,-3.290183002984546,3.2770769788032337
CRUK0001_R1_ROI_1,-1.4512888385349785,3.4497132559243147
CRUK0052_R1_ROI_1,-0.10941582686553232,3.7727303777571777
CRUK0024_R2,-1.3514073689412263,2.337343211973443
CRUK0015_R2,-0.4815171124251019,5.277521817413507
CRUK0057_R2_ROI_2,-1.3664064608004796,4.409080931221133
CRUK0052_R1_ROI_2,0.27492262921321436,5.5169649051516405
CRUK0038_R1,-0.8870273472722823,2.3731046259217154
CRUK0002_R2_ROI_1,-2.9396169935205383,4.08478917183627
CRUK0004_R3_ROI_2,-3.3168017952081645,3.7136727121317183
CRUK0036_R3_ROI_1,0.8401627999603938,3.211195689825679
CRUK0002_R3_ROI_1,-0.1413443061247633,1.7266397549813841
CRUK0009_R4_ROI_2,0.6855449386454403,4.16386660941509
CRUK0003_R6,-0.8767948225127256,2.135461696261999
CRUK0046_R4_ROI_1,2.897855961452517,5.083701420679071
CRUK0051_R4_ROI_2,1.590223516679292,4.1398648664903215
CRUK0006_R2_ROI_1,-2.75906438691277,1.6844476156156822
CRUK0024_R1,-0.6797642358562119,5.392141855741355
