ROI,ECM_dim1_PCA_coord1,ECM_dim1_PCA_coord2
CRUK0037_R5_ROI_1,5.533430880833405e-6,-4.3458651104219114e-5
CRUK0052_R4,-6.288789726426295e-5,1.2902138841096705e-5
CRUK0037_R5_ROI_2,-2.8164699631268745e-5,1.5925343961696816e-5
CRUK0001_R3_ROI_1,-1.592748334463755e-5,-2.1814991804224653e-5
CRUK0009_R3_ROI_1,-4.954492740409923e-5,1.771519888871147e-5
CRUK0002_R1_ROI_1,-3.811897254556074e-5,-1.1788014323846589e-5
CRUK0001_R2_ROI_2,2.8805016286589105e-5,-6.043491152913004e-5
CRUK0024_R7_ROI_1,-4.4760041980934576e-5,1.923362912187248e-5
CRUK0004_R3_ROI_1,-4.0062945275407866e-5,-1.8829097994197533e-5
CRUK0009_R3_ROI_2,-1.3447941059279827e-5,2.215496666266396e-5
CRUK0036_R2_ROI_2,-7.068133266773144e-5,2.457508727160759e-5
CRUK0006_R2_ROI_2,4.271097900442737e-5,-4.3421680284092414e-5
CRUK0001_R2_ROI_1,1.2231627997059298e-5,-3.678443275910452e-5
CRUK0036_R2_ROI_1,-3.7667804442352606e-5,2.0110295629441895e-5
CRUK0002_R1_ROI_2,-3.623380544226103e-5,-6.7613631601382395e-6
CRUK0047_R1,-5.585312295366313e-5,2.4986977621677138e-5
CRUK0034_R1_ROI_2,2.6867016779649944e-5,-2.4606641370478677e-5
CRUK0024_R8,-1.6543185538282137e-5,-2.4272619133784172e-5
CRUK0041_R2_ROI_1,8.98022816691752e-5,3.28940357890758e-5
CRUK0012_R1_ROI_2,2.7294102802388933e-5,-4.672530749310812e-5
CRUK0034_R1_ROI_1,1.6077641782727414e-5,-2.3268747683569698e-5
CRUK0037_R4_ROI_1,-6.513320828058865e-5,2.4460060824991517e-5
CRUK0001_R1_ROI_2,5.914130839686878e-5,-2.025504941477598e-5
CRUK0012_R1_ROI_1,4.6542567001873664e-5,7.449207556582383e-6
CRUK0052_R3,4.486481251242437e-5,5.111013943612689e-5
CRUK0057_R2_ROI_1,3.929145322244961e-5,-9.267659142025488e-6
CRUK0009_R4_ROI_1,8.432383822240476e-5,4.0462062364290056e-5
CRUK0051_R4_ROI_1,6.0354354442467196e-5,1.171443647481886e-5
CRUK0024_R7_ROI_2,6.9780793703165376e-6,-2.3396006941719454e-5
CRUK0001_R3_ROI_2,1.97660749230043e-5,-1.693947885274829e-5
CRUK0046_R3_ROI_1,-6.781069929563712e-5,1.08499495807572e-5
CRUK0009_R2,7.753261464801726e-5,3.981359480591089e-5
CRUK0048_R2,-7.453630483758094e-6,-9.677350200065862e-6
CRUK0034_R3,9.930057383981585e-5,2.4890941299002262e-5
CRUK0036_R1_ROI_2,-7.917610988437813e-5,2.426140739865656e-5
CRUK0002_R2_ROI_2,-1.0492293372653416e-5,-3.3389868637792326e-5
CRUK0015_R1,7.310991837962283e-5,2.7127669590559214e-5
CRUK0046_R3_ROI_2,-5.3086316044999666e-5,1.6607368721481647e-5
CRUK0041_R2_ROI_2,6.195141090501195e-5,3.459521594894733e-5
CRUK0010_R1_ROI_2,-4.032551175905944e-5,-1.717105446192427e-5
CRUK0036_R3_ROI_2,-3.8050586929029795e-5,2.2851464764448283e-5
CRUK0010_R1_ROI_1,3.2471926710478525e-5,2.6757289660407894e-5
CRUK0046_R4_ROI_2,-7.876106757239458e-5,2.3121959986093942e-5
CRUK0010_R2,-2.9304030571283965e-5,5.451479834484285e-6
CRUK0036_R1_ROI_1,-7.947622063368058e-5,2.6865678856647428e-5
CRUK0001_R1_ROI_1,6.80804383020848e-5,2.6852829696799475e-7
CRUK0052_R1_ROI_1,-2.205840521073353e-5,-4.9669554094272015e-6
CRUK0002_R3_ROI_2,1.8128079532152446e-5,-2.0362798704777794e-5
CRUK0015_R2,-4.112885255124307e-5,-9.549782360687107e-6
CRUK0024_R2,0.00012806584137060872,3.900684639247434e-5
CRUK0057_R2_ROI_2,-1.0376911422979607e-6,-7.110613046120879e-6
CRUK0052_R1_ROI_2,-2.361582854399012e-5,-5.197213412091272e-6
CRUK0002_R2_ROI_1,4.8397800957570624e-5,-3.807664553918574e-5
CRUK0004_R3_ROI_2,-4.8572349355773967e-5,2.2571639328583825e-6
CRUK0036_R3_ROI_1,-7.737869751782033e-5,2.220087604075862e-5
CRUK0002_R3_ROI_1,-2.2205780885689686e-5,-2.200867434701198e-5
CRUK0009_R4_ROI_2,8.415822265463189e-5,4.000233061306881e-5
CRUK0003_R6,1.8770851658369314e-5,-5.4566030248726076e-5
CRUK0046_R4_ROI_1,-6.002962595050971e-5,1.0790438749226788e-5
CRUK0051_R4_ROI_2,3.395428416107198e-6,2.3897171641321942e-5
CRUK0006_R2_ROI_1,1.7454718591240266e-5,-5.783336449718325e-5
CRUK0024_R1,1.3588654274892361e-5,-3.537595270257083e-5
