ROI,leukocytes_dim0_umap_coord1,leukocytes_dim0_umap_coord2
CRUK0037_R5_ROI_1,-7.893876892406415,-3.7180632279854
CRUK0052_R4,-2.7398373998058947,3.1555748051301773
CRUK0037_R5_ROI_2,-4.079048262271097,2.085732382774568
CRUK0001_R3_ROI_1,-4.034004262021307,1.7201624439387662
CRUK0009_R3_ROI_1,-5.907534152223241,-1.7816862547818213
CRUK0037_R4_ROI_2,-5.6796476284423525,-1.3638483771307714
CRUK0002_R1_ROI_1,0.29338814883538933,4.167889489407464
CRUK0006_R1_ROI_1,8.329825648988768,-1.1985112478542628
CRUK0001_R2_ROI_2,-0.1508402180075849,4.091055979561853
CRUK0024_R7_ROI_1,0.951588330059691,4.892026179748272
CRUK0004_R3_ROI_1,-0.22389463129031922,4.295945559609018
CRUK0009_R3_ROI_2,0.6191340458168777,4.193884411011378
CRUK0036_R2_ROI_2,-6.783782066551184,-3.126308925543783
CRUK0037_R2_ROI_2,0.9783762878960077,4.755142009831649
CRUK0006_R2_ROI_2,8.463419128723695,-1.3529239149884815
CRUK0001_R2_ROI_1,0.15575142735992295,4.328502811915508
CRUK0036_R2_ROI_1,-6.142698636375438,-2.613285830780173
CRUK0002_R1_ROI_2,-3.202073966622359,1.9684521625093119
CRUK0034_R1_ROI_2,10.023425077754421,-3.1685095818687437
CRUK0047_R1,-8.031342357883181,-3.8468514130537663
CRUK0006_R1_ROI_2,3.1972099214155723,2.596389596558831
CRUK0024_R8,-6.295831359905618,-1.3454542546848411
CRUK0041_R2_ROI_1,-6.248956046349834,-1.2209055642543762
CRUK0012_R1_ROI_2,9.051776693989138,-2.2430526566094833
CRUK0034_R1_ROI_1,10.10526590755349,-3.2499156190927923
CRUK0037_R4_ROI_1,-7.9948864852055,-3.8269795220773544
CRUK0001_R1_ROI_2,3.7181383317271277,1.6875106031182043
CRUK0012_R1_ROI_1,3.5311800139084997,2.3930150285087888
CRUK0052_R3,-3.9693302810497286,2.41923643003031
CRUK0057_R2_ROI_1,8.64724381812118,-1.9815460422954119
CRUK0009_R4_ROI_1,8.268485486378806,-1.1382305690087093
CRUK0051_R4_ROI_1,3.825530724624221,1.561131012248689
CRUK0024_R7_ROI_2,0.9424093972931631,5.027897591853808
CRUK0001_R3_ROI_2,-4.134097648097971,1.3891336862130006
CRUK0046_R3_ROI_1,9.520203540769058,-2.6867932792424383
CRUK0009_R2,3.7171297716514538,1.6826994358505332
CRUK0048_R2,-2.745232469199006,3.003603759255999
CRUK0034_R3,9.807936605211397,-2.958752532979606
CRUK0036_R1_ROI_2,-6.538660088424933,-2.7578823118053966
CRUK0002_R2_ROI_2,-5.965401309939835,-1.407231299413233
CRUK0015_R1,3.741394134278612,1.870049010725143
CRUK0046_R3_ROI_2,0.7931769075433382,4.297576941390816
CRUK0041_R2_ROI_2,-5.869626671831841,-1.0009745213589343
CRUK0005_R3,-6.342584614692187,-2.976389117233963
CRUK0010_R1_ROI_2,-3.259366558269466,1.9072778462911963
CRUK0036_R3_ROI_2,-2.973619785782375,2.828689736982216
CRUK0010_R1_ROI_1,-6.678547465593533,-2.9854893023683604
CRUK0046_R4_ROI_2,2.8579660272476897,2.655613810459432
CRUK0010_R2,2.9879239959634707,2.0924255971886394
CRUK0036_R1_ROI_1,-3.0022594120220627,2.356136561874583
CRUK0001_R1_ROI_1,-2.0519783325655703,3.409369823216572
CRUK0052_R1_ROI_1,2.560268402633844,2.8485903428924413
CRUK0002_R3_ROI_2,-8.10529698644284,-3.9090474713129186
CRUK0015_R2,1.113106743910613,3.937490798092552
CRUK0024_R2,-4.114388529909047,1.9099937467174222
CRUK0057_R2_ROI_2,8.72580421065859,-2.0428890247376863
CRUK0005_R1,-6.521128932016962,-2.809678649345425
CRUK0052_R1_ROI_2,-0.8033710557108417,4.151289619527043
CRUK0038_R1,8.859890672254195,-1.963246932447483
CRUK0002_R2_ROI_1,-5.726068606276448,-1.2922983264839067
CRUK0005_R4,-7.5930437201217265,-3.5624729788014244
CRUK0004_R3_ROI_2,-1.0192842705237517,4.025267799788625
CRUK0036_R3_ROI_1,-3.0517551378630943,2.9047069021420278
CRUK0002_R3_ROI_1,-5.933709092252275,-2.2693535030516703
CRUK0009_R4_ROI_2,0.972029338007499,4.952674195361275
CRUK0003_R6,-0.5388295381432389,4.241226359493614
CRUK0037_R2_ROI_1,-2.670299247701384,3.2454084223800823
CRUK0046_R4_ROI_1,8.607685194822487,-1.5469691070250422
CRUK0051_R4_ROI_2,3.2447864760344403,2.2696277146171786
CRUK0006_R2_ROI_1,3.3441001589153965,1.8716958100917547
CRUK0024_R1,9.69878272582242,-2.852230993153744
