ROI,ECM_leukocytes_dim0_umap_coord1,ECM_leukocytes_dim0_umap_coord2
CRUK0052_R4,-8.1399118926736,0.9943000539938313
CRUK0037_R5_ROI_2,-8.390564104292979,2.4826699865573456
CRUK0001_R3_ROI_1,-3.8084512010461475,0.44744947857430345
CRUK0009_R3_ROI_1,-7.531148381537814,-0.5014532098854423
CRUK0002_R1_ROI_1,-8.917063580683273,0.6538340487036732
CRUK0001_R2_ROI_2,-0.050256472805911494,-3.0497324392209664
CRUK0024_R7_ROI_1,-8.601281038567816,2.035235544187613
CRUK0004_R3_ROI_1,-9.23978450357464,2.1744542170347314
CRUK0009_R3_ROI_2,9.791370824577646,1.6263651847939238
CRUK0006_R2_ROI_2,9.385739412155742,2.0555920517174404
CRUK0001_R2_ROI_1,-0.0657189402250031,-3.7900673617385507
CRUK0036_R2_ROI_1,-7.381674763749772,-0.897603980641262
CRUK0002_R1_ROI_2,-8.72954965343878,0.7739424329998804
CRUK0034_R1_ROI_2,-4.104001187178566,-5.584078222205385
CRUK0024_R8,-4.388282742250801,0.8794602632205324
CRUK0041_R2_ROI_1,-4.155873145065646,0.7427510330068716
CRUK0012_R1_ROI_2,9.779515647047818,2.1215920080639314
CRUK0034_R1_ROI_1,-4.1471842054963775,-5.700588772794104
CRUK0001_R1_ROI_2,8.987643892892997,1.99802570564978
CRUK0012_R1_ROI_1,-4.308700750723502,-5.972894856690956
CRUK0052_R3,-9.368940063196762,1.9633865830265869
CRUK0057_R2_ROI_1,-4.474413319105368,-5.797775785746876
CRUK0009_R4_ROI_1,9.897856936612346,2.0695770395516604
CRUK0051_R4_ROI_1,9.140035514631776,1.390486730482383
CRUK0024_R7_ROI_2,-0.15909236892678763,-2.664699874062228
CRUK0001_R3_ROI_2,-4.054743841613472,0.6650586775555106
CRUK0046_R3_ROI_1,-0.47336639482467685,-3.6284255465357744
CRUK0009_R2,9.529682492676503,1.3895211321979974
CRUK0048_R2,-9.062635905634794,1.2746809795543492
CRUK0034_R3,-4.372810681794258,-5.483017905964877
CRUK0036_R1_ROI_2,-8.095185095498495,-0.3354030529474817
CRUK0002_R2_ROI_2,-7.088142605929326,-0.5358417794671267
CRUK0015_R1,8.919994463155735,1.772135686872031
CRUK0046_R3_ROI_2,-9.09741378388812,2.400208252686177
CRUK0041_R2_ROI_2,-3.9511683529721617,0.5734667047715207
CRUK0010_R1_ROI_2,-7.3094230069694754,0.28550854293563555
CRUK0036_R3_ROI_2,-8.348541207357297,0.012599273810314312
CRUK0010_R1_ROI_1,-7.6730827600615825,0.3107913933166976
CRUK0046_R4_ROI_2,-8.673651173750802,1.2902592638631436
CRUK0010_R2,-8.002145926969604,0.6128305952153156
CRUK0036_R1_ROI_1,-8.46323019751512,0.01754112288351692
CRUK0001_R1_ROI_1,-0.18239967223032333,-2.6982423576466736
CRUK0052_R1_ROI_1,-8.47080300823255,2.4001524528938956
CRUK0024_R2,-0.31615248863431406,-3.352716190410393
CRUK0015_R2,-9.413320266014292,1.7312010315605442
CRUK0057_R2_ROI_2,-3.683366093728565,-6.127523664029345
CRUK0052_R1_ROI_2,-9.380042509062061,1.5319860373135288
CRUK0002_R2_ROI_1,-9.527526631361768,1.1961970434384541
CRUK0004_R3_ROI_2,-7.576242769853951,0.671130635687729
CRUK0036_R3_ROI_1,-8.203165290458623,0.1152072513979027
CRUK0002_R3_ROI_1,-7.257448694840084,-0.7096008768919219
CRUK0009_R4_ROI_2,-3.885861957418235,-6.2498671066314015
CRUK0003_R6,-0.20223620463605488,-3.502838126661694
CRUK0046_R4_ROI_1,-8.099162598707736,1.765280281203797
CRUK0051_R4_ROI_2,-8.771847778985775,2.6572580819196894
CRUK0006_R2_ROI_1,9.374536295454003,1.5189339690300885
CRUK0024_R1,9.025175103662983,1.600779541996731
