ROI,ECM_leukocytes_dim1_entropy,ECM_leukocytes_dim1_number_of_points
CRUK0052_R4,0.3496327522361573,17
CRUK0037_R5_ROI_2,0.35175760870361633,31
CRUK0001_R3_ROI_1,0.3288182869636937,22
CRUK0009_R3_ROI_1,0.22241657479417282,9
CRUK0002_R1_ROI_1,0.35704487113239897,18
CRUK0001_R2_ROI_2,0.3958713126408,31
CRUK0024_R7_ROI_1,0.33339362018763247,19
CRUK0004_R3_ROI_1,0.36375471733648623,22
CRUK0009_R3_ROI_2,0.3627372489042827,20
CRUK0006_R2_ROI_2,0.41267749091614986,32
CRUK0001_R2_ROI_1,0.3769337378528187,28
CRUK0036_R2_ROI_1,0.19637160585806598,6
CRUK0002_R1_ROI_2,0.318380169833304,13
CRUK0034_R1_ROI_2,0.44338022354350287,56
CRUK0024_R8,0.30061706468951116,12
CRUK0041_R2_ROI_1,0.339532022556018,18
CRUK0012_R1_ROI_2,0.4546389993652699,40
CRUK0034_R1_ROI_1,0.45791534403781703,63
CRUK0001_R1_ROI_2,0.41226189617730313,36
CRUK0012_R1_ROI_1,0.4472779956624475,61
CRUK0052_R3,0.340347038814213,15
CRUK0057_R2_ROI_1,0.44091504992798713,49
CRUK0009_R4_ROI_1,0.4158555661430265,25
CRUK0051_R4_ROI_1,0.3553792435441715,36
CRUK0024_R7_ROI_2,0.4079426352209805,42
CRUK0001_R3_ROI_2,0.38761725392413326,21
CRUK0046_R3_ROI_1,0.3622420191496952,23
CRUK0009_R2,0.3620856266298191,20
CRUK0048_R2,0.3470586362679826,17
CRUK0034_R3,0.4453287003709781,58
CRUK0036_R1_ROI_2,0.20754378696073256,6
CRUK0002_R2_ROI_2,0.23428319795607946,9
CRUK0015_R1,0.4413061390878702,41
CRUK0046_R3_ROI_2,0.2787763454742294,18
CRUK0041_R2_ROI_2,0.362226427469399,16
CRUK0010_R1_ROI_2,0.24279865178797866,9
CRUK0036_R3_ROI_2,0.1370263751876308,3
CRUK0010_R1_ROI_1,0.312712718729628,6
CRUK0046_R4_ROI_2,0.22505048011286305,11
CRUK0010_R2,0.3355517196120837,14
CRUK0036_R1_ROI_1,0.14725658679220777,5
CRUK0001_R1_ROI_1,0.4365982248853659,44
CRUK0052_R1_ROI_1,0.4130208295563054,21
CRUK0024_R2,0.35677841717278713,27
CRUK0015_R2,0.34046656536567366,21
CRUK0057_R2_ROI_2,0.4321656450240215,39
CRUK0052_R1_ROI_2,0.26374701739553763,13
CRUK0002_R2_ROI_1,0.3732300068553927,17
CRUK0004_R3_ROI_2,0.2812240594511262,13
CRUK0036_R3_ROI_1,0.30713430763755084,15
CRUK0002_R3_ROI_1,0.2906039203334514,13
CRUK0009_R4_ROI_2,0.39502679992498746,38
CRUK0003_R6,0.41481228738596654,33
CRUK0046_R4_ROI_1,0.2614980245460969,21
CRUK0051_R4_ROI_2,0.43411844068841027,42
CRUK0006_R2_ROI_1,0.415795253576065,36
CRUK0024_R1,0.3686192930826122,34
