ROI,ECM_cancer_dim0_umap_coord1,ECM_cancer_dim0_umap_coord2
CRUK0052_R4,-0.3495694446949592,-9.008427999267614
CRUK0037_R5_ROI_2,-0.07930556398810061,-6.272945786453598
CRUK0001_R3_ROI_1,-0.1098153231978303,-10.026715032751339
CRUK0009_R3_ROI_1,-0.2743382779978503,-8.537131363534128
CRUK0002_R1_ROI_1,0.27647486246337855,-5.870130896219042
CRUK0001_R2_ROI_2,1.879681347535107,-3.0989908520159037
CRUK0024_R7_ROI_1,-0.11779777417820132,-1.6389405476950658
CRUK0004_R3_ROI_1,-0.6715149545206671,-0.2682141174245479
CRUK0009_R3_ROI_2,-0.48963997720318825,-7.462578610859979
CRUK0036_R2_ROI_2,0.17393018103161192,-3.817629152448306
CRUK0036_R2_ROI_1,0.10434555711392743,-3.2896951155012957
CRUK0001_R2_ROI_1,1.20998822247046,-3.9564659691311257
CRUK0002_R1_ROI_2,2.011071091347695,-3.6312108571580333
CRUK0034_R1_ROI_2,0.2526721160963787,-10.504095747918587
CRUK0024_R8,2.560114207428901,-3.566705295746499
CRUK0041_R2_ROI_1,-0.2376611649719846,-5.45950767104615
CRUK0012_R1_ROI_2,0.19547486672616726,-10.150230378764402
CRUK0034_R1_ROI_1,0.15126085919884613,-10.629275766592032
CRUK0037_R4_ROI_1,-0.9079487622665637,-5.576730855552637
CRUK0001_R1_ROI_2,-0.039200433118230196,-5.361696671961745
CRUK0012_R1_ROI_1,0.005948718602369112,-9.345653667666813
CRUK0052_R3,-0.4191023583521878,-1.217262535726454
CRUK0057_R2_ROI_1,1.3466911295007722,-3.585398861178822
CRUK0009_R4_ROI_1,-0.7779335897643913,-4.843706268779248
CRUK0051_R4_ROI_1,-0.2842834234972056,-8.838610964669998
CRUK0024_R7_ROI_2,-0.3105549154339205,-10.201938338134093
CRUK0001_R3_ROI_2,1.7534761785027093,-3.7649636953843717
CRUK0046_R3_ROI_1,0.7657522957922255,-5.040288780665693
CRUK0009_R2,-0.21625405736476278,-0.2095141768270736
CRUK0048_R2,-0.05493040831783855,-4.090153682452997
CRUK0034_R3,0.1718088363938037,-8.915609032517883
CRUK0036_R1_ROI_2,2.1470212268189197,-3.1068641000567117
CRUK0002_R2_ROI_2,-0.2702212859959304,-10.521853677900545
CRUK0015_R1,0.42985577401462993,-4.48101670989155
CRUK0046_R3_ROI_2,0.3090286396408733,-5.986926688853646
CRUK0041_R2_ROI_2,2.3077567464966373,-3.550539360686544
CRUK0010_R1_ROI_2,0.18507453103329305,-3.361264569428679
CRUK0036_R3_ROI_2,-0.34927304506149365,-0.24520303922861858
CRUK0010_R1_ROI_1,-0.1917284432814034,-0.6796425154608843
CRUK0046_R4_ROI_2,1.6586564673491315,-3.2252588269983513
CRUK0010_R2,-0.6391621155391362,-0.7701862549808945
CRUK0036_R1_ROI_1,0.04851192368543883,-2.1010287757884933
CRUK0001_R1_ROI_1,-0.43086428517440856,-1.633408094752785
CRUK0052_R1_ROI_1,-0.37674840255311537,-9.302570023753946
CRUK0002_R3_ROI_2,2.8757073750026385,-3.85335194201869
CRUK0015_R2,-0.4556626246899027,-4.834311931966756
CRUK0024_R2,-0.7431559348900038,-4.446014449194438
CRUK0057_R2_ROI_2,-0.975506454914577,-4.790042844740968
CRUK0052_R1_ROI_2,0.5198889279618234,-2.94758023495166
CRUK0002_R2_ROI_1,1.0968167080850004,-4.778537967519262
CRUK0004_R3_ROI_2,-0.6458780152120991,-0.2114684060676578
CRUK0036_R3_ROI_1,-0.3257931934615705,-4.728096338331816
CRUK0002_R3_ROI_1,1.826400479903179,-3.3796383452716343
CRUK0009_R4_ROI_2,-0.6477402418744469,-5.535880373389258
CRUK0003_R6,-0.21703213710257296,-1.3621099623486626
CRUK0046_R4_ROI_1,-0.4730658352076976,-9.726120330375759
CRUK0051_R4_ROI_2,0.6235899090362815,-5.2632125246199015
CRUK0006_R2_ROI_1,-0.12901441521519602,-1.1567493073529358
CRUK0024_R1,-0.6121992674470812,-7.719287806843936
