ROI,ECM_dim0_entropy,ECM_dim0_number_of_points
CRUK0037_R5_ROI_1,0.5887075828424688,900
CRUK0052_R4,0.5433218488504343,445
CRUK0037_R5_ROI_2,0.6130909372552086,1131
CRUK0001_R3_ROI_1,0.5980925266038128,1002
CRUK0009_R3_ROI_1,0.5843883816235534,715
CRUK0002_R1_ROI_1,0.5771225978315482,725
CRUK0001_R2_ROI_2,0.597569975138861,1012
CRUK0024_R7_ROI_1,0.5841173038086386,773
CRUK0004_R3_ROI_1,0.5393425573262255,423
CRUK0009_R3_ROI_2,0.6102803430324184,1101
CRUK0036_R2_ROI_2,0.5450107569150368,452
CRUK0006_R2_ROI_2,0.6127885787974571,1284
CRUK0001_R2_ROI_1,0.6023017776452037,1091
CRUK0036_R2_ROI_1,0.591261963369609,832
CRUK0002_R1_ROI_2,0.5809139579706046,804
CRUK0047_R1,0.5677663502523865,536
CRUK0034_R1_ROI_2,0.6176650218364712,1322
CRUK0024_R8,0.5927411928893973,906
CRUK0041_R2_ROI_1,0.6476779439354623,2017
CRUK0012_R1_ROI_2,0.6044384742705284,1091
CRUK0034_R1_ROI_1,0.6144432635648557,1288
CRUK0037_R4_ROI_1,0.5731106041402917,645
CRUK0001_R1_ROI_2,0.6260895621577529,1555
CRUK0012_R1_ROI_1,0.6360314797959693,1714
CRUK0052_R3,0.6272969418870453,1450
CRUK0057_R2_ROI_1,0.6193602778965935,1419
CRUK0009_R4_ROI_1,0.6388426068013299,1932
CRUK0051_R4_ROI_1,0.6372868847334379,1766
CRUK0024_R7_ROI_2,0.6097535310700394,1158
CRUK0001_R3_ROI_2,0.6258758856114557,1489
CRUK0046_R3_ROI_1,0.5227482216523881,348
CRUK0009_R2,0.6408756478126794,1906
CRUK0048_R2,0.6108656170255546,1155
CRUK0034_R3,0.6585439275903439,2477
CRUK0036_R1_ROI_2,0.5243775703210884,352
CRUK0002_R2_ROI_2,0.5792623135569088,785
CRUK0015_R1,0.6390771058184348,1785
CRUK0046_R3_ROI_2,0.5682149916729755,625
CRUK0041_R2_ROI_2,0.6429395780604092,1864
CRUK0010_R1_ROI_2,0.5641996080859317,606
CRUK0036_R3_ROI_2,0.5696683977077878,693
CRUK0010_R1_ROI_1,0.629594321173665,1510
CRUK0046_R4_ROI_2,0.48849754431651077,224
CRUK0010_R2,0.5790643907019453,802
CRUK0036_R1_ROI_1,0.511499430658818,302
CRUK0001_R1_ROI_1,0.635015756006556,1803
CRUK0052_R1_ROI_1,0.5915117030149956,885
CRUK0002_R3_ROI_2,0.6115202068460546,1282
CRUK0015_R2,0.5694194091048494,676
CRUK0024_R2,0.6520696055813869,2285
CRUK0057_R2_ROI_2,0.6086295997316165,1101
CRUK0052_R1_ROI_2,0.588498355407313,882
CRUK0002_R2_ROI_1,0.6089770910630324,1223
CRUK0004_R3_ROI_2,0.5517079192616031,555
CRUK0036_R3_ROI_1,0.5049140236733153,291
CRUK0002_R3_ROI_1,0.5801360625515833,796
CRUK0009_R4_ROI_2,0.6474612599608744,2001
CRUK0003_R6,0.5878208246980768,864
CRUK0046_R4_ROI_1,0.5458184187530981,437
CRUK0051_R4_ROI_2,0.6328781385858191,1452
CRUK0006_R2_ROI_1,0.6039671823349974,1147
CRUK0024_R1,0.5981934054519807,1003
