ROI,combined_PCA_coord1,combined_PCA_coord2
CRUK0001_R1_ROI_1,-0.0014441006608111545,6.594082540111986e-5
CRUK0001_R1_ROI_2,-0.00017809240200084933,-0.0006450479805060167
CRUK0001_R2_ROI_1,-0.0013173934558271913,0.0003817439324499811
CRUK0001_R2_ROI_2,-0.0014657373691540848,0.0003476931092758168
CRUK0001_R3_ROI_1,-0.0012634858606989214,0.0005823602535971112
CRUK0001_R3_ROI_2,-0.001506713941017067,0.0006245035580951048
CRUK0002_R1_ROI_1,0.0009209057846017876,0.0006927719310408551
CRUK0002_R1_ROI_2,-0.0001657654189986339,0.0007859427526886266
CRUK0002_R2_ROI_1,-0.001344635437843966,0.0006143569075362286
CRUK0002_R2_ROI_2,-0.0007929874628084554,0.0007135674568486517
CRUK0002_R3_ROI_1,-0.0006828399872677844,0.0008560629342582983
CRUK0003_R6,-0.0015387921905140826,0.0003988227808755481
CRUK0004_R3_ROI_1,-0.0010021902434833763,0.0004660474302849243
CRUK0004_R3_ROI_2,-0.0009789894643244651,0.0005686968277816683
CRUK0006_R2_ROI_1,-0.001411500660315356,-0.0005545821278764212
CRUK0009_R2,0.001411113441910864,-0.0003275921487556807
CRUK0009_R3_ROI_1,0.0029952747237611843,0.0012280424301404445
CRUK0009_R3_ROI_2,0.0027447884599914292,0.0008599657034850382
CRUK0009_R4_ROI_1,0.0003326124553168793,-0.0008259235358175378
CRUK0009_R4_ROI_2,-0.00037159929159181766,0.00036406994398041815
CRUK0010_R1_ROI_1,-0.0013904565979941887,0.0006968365438208849
CRUK0010_R1_ROI_2,-0.0014097273108208282,0.0006006875704270738
CRUK0010_R2,0.000311068197390306,-0.00022177142531646366
CRUK0012_R1_ROI_1,-0.0008169479312293785,-0.00041280870084926325
CRUK0012_R1_ROI_2,-6.124911663392014e-5,-0.0015881530659531712
CRUK0015_R1,-2.8116043911431738e-5,-0.0004345439812459105
CRUK0015_R2,0.0004907926839875474,0.00032007278558137786
CRUK0024_R1,0.0008989995992974475,-0.0021271567203066106
CRUK0024_R2,-0.0012375697433290595,0.0005105990549894647
CRUK0024_R7_ROI_1,0.00098524879998285,0.0005857527089566423
CRUK0024_R7_ROI_2,5.425187139691684e-5,0.0005434614048234497
CRUK0024_R8,-0.0012652349645378763,0.0007113280577693453
CRUK0034_R1_ROI_1,-0.0003282424871419784,-0.004085230789032455
CRUK0034_R1_ROI_2,-0.0006683384261357478,-0.00354419456467203
CRUK0034_R3,0.0018334752059840764,-0.0024916947439463755
CRUK0036_R1_ROI_1,0.0012480543426211692,0.0009615990613844125
CRUK0036_R1_ROI_2,0.0005703709684647452,0.0009705235930707228
CRUK0036_R2_ROI_1,0.000961417376450265,0.001038860654103507
CRUK0036_R3_ROI_1,-0.00013802444292126715,0.0006439849965597221
CRUK0036_R3_ROI_2,-0.0007287502584753515,0.000586568375934065
CRUK0037_R5_ROI_2,-0.0005110874436978614,0.0006043666519485868
CRUK0041_R2_ROI_1,-0.0008457073543143522,0.0007700273631828957
CRUK0041_R2_ROI_2,-0.001315383492792836,0.000633504846603477
CRUK0046_R3_ROI_1,0.0033200122516382617,-0.001457714078219558
CRUK0046_R3_ROI_2,0.0012813277257628596,0.0003715189509176744
CRUK0046_R4_ROI_1,0.0030928032142716597,-0.000633249808985911
CRUK0046_R4_ROI_2,0.0015198813403661813,0.0002079173707383399
CRUK0048_R2,-0.0008473258137077069,0.000554181001529
CRUK0051_R4_ROI_1,-0.0011201309793745957,-0.0010033793447206199
CRUK0051_R4_ROI_2,-0.0010697609428671532,-0.00038101068371526907
CRUK0052_R1_ROI_1,0.0006703110772767341,0.00011567068932051958
CRUK0052_R1_ROI_2,0.0008086315635751296,0.0007693166726190018
CRUK0052_R3,0.0010888650420873272,0.0007962112929781203
CRUK0052_R4,0.0037909829811427244,0.0012099756858117055
CRUK0057_R2_ROI_1,-0.0010904180215755377,-0.001561997944097479
CRUK0057_R2_ROI_2,-0.0009938938891600518,-0.0014575024667930557
