ROI,combined_umap_coord1,combined_umap_coord2
CRUK0001_R1_ROI_1,0.47724401683323425,-4.093050240242924
CRUK0001_R1_ROI_2,3.4068742629423894,1.0511509858471155
CRUK0001_R2_ROI_1,-0.07080778096101427,-4.067568329792891
CRUK0001_R2_ROI_2,0.17920442505644468,-4.213780394272748
CRUK0001_R3_ROI_1,-1.4511183863798134,-3.412766016875572
CRUK0001_R3_ROI_2,-0.7393965693338516,-4.405532327631315
CRUK0002_R1_ROI_1,1.7784026648301534,3.437796668654669
CRUK0002_R1_ROI_2,-2.232887188347386,-0.750506389323477
CRUK0002_R2_ROI_1,-0.9933010580423584,-4.159578189989643
CRUK0002_R2_ROI_2,-2.3820102286234532,-1.4035764734556095
CRUK0002_R3_ROI_1,-2.5924757817535107,-1.2642141265975686
CRUK0003_R6,0.22773145327387573,-4.143141158762936
CRUK0004_R3_ROI_1,-0.8894122333938539,-1.3530622781731516
CRUK0004_R3_ROI_2,-0.9689295926350406,-1.4950369928055462
CRUK0006_R2_ROI_1,3.9025328213475903,-1.04827780436199
CRUK0009_R2,2.623042241612281,3.563630995726743
CRUK0009_R3_ROI_1,3.8582846899390573,4.068886691849461
CRUK0009_R3_ROI_2,3.7452846438965675,4.115805859057217
CRUK0009_R4_ROI_1,3.53831511833673,1.5823863889455083
CRUK0009_R4_ROI_2,-1.3367970774643692,-1.0092586100904886
CRUK0010_R1_ROI_1,-1.3893130345411977,-4.208032422293716
CRUK0010_R1_ROI_2,-1.1950286562753987,-3.9128072835901135
CRUK0010_R2,2.928487278150222,1.9586772460079676
CRUK0012_R1_ROI_1,3.5652163708921383,-0.3896230458994643
CRUK0012_R1_ROI_2,3.8330129912874336,0.8134391507680476
CRUK0015_R1,3.213710374072266,1.4970794490001977
CRUK0015_R2,2.49210210572045,2.40588144712975
CRUK0024_R1,4.033489100473085,1.4693900904814101
CRUK0024_R2,-0.7870089219253388,-4.476461348876739
CRUK0024_R7_ROI_1,2.129770510360139,3.5458025680624905
CRUK0024_R7_ROI_2,-1.9067637455163522,-0.3568928505730491
CRUK0024_R8,-1.4809739103377664,-3.7998873096294012
CRUK0034_R1_ROI_1,4.445337679669997,0.42715112609155204
CRUK0034_R1_ROI_2,4.352040581296398,0.3361871764443752
CRUK0034_R3,4.046900218503597,1.6445121285849682
CRUK0036_R1_ROI_1,1.35757093109988,3.818958627933007
CRUK0036_R1_ROI_2,1.0051287268694435,3.450974904987001
CRUK0036_R2_ROI_1,1.1326800994683486,3.5503617938554104
CRUK0036_R3_ROI_1,-2.3192364476589065,-0.8154729038372419
CRUK0036_R3_ROI_2,-2.0043157580737407,-1.3979352077196423
CRUK0037_R5_ROI_2,-1.8363795987264429,-1.211945176717933
CRUK0041_R2_ROI_1,-1.6026295141210236,-1.6935330230525485
CRUK0041_R2_ROI_2,-1.2358980376232598,-4.39859641008802
CRUK0046_R3_ROI_1,3.6384845665308014,3.2955734221112056
CRUK0046_R3_ROI_2,2.268083326952866,3.5473941219411396
CRUK0046_R4_ROI_1,3.559122793981204,3.7502980261745087
CRUK0046_R4_ROI_2,2.4074569591921957,3.8694017660319635
CRUK0048_R2,-1.5005831046604878,-1.5122184790439768
CRUK0051_R4_ROI_1,4.024661212280844,-0.4494858453166698
CRUK0051_R4_ROI_2,3.722155391886566,-0.7165765118621163
CRUK0052_R1_ROI_1,2.246923364744514,2.794318207094103
CRUK0052_R1_ROI_2,1.7632877074849511,3.8298936799629586
CRUK0052_R3,1.7205488234199626,4.1268406516611105
CRUK0052_R4,3.6057732583836355,4.306060738520832
CRUK0057_R2_ROI_1,4.235884016229067,-0.47110736668935066
CRUK0057_R2_ROI_2,4.269721529661141,-0.308366271749039
