ROI,leukocytes_dim1_PCA_coord1,leukocytes_dim1_PCA_coord2
CRUK0037_R5_ROI_1,5.874937903990665e-5,2.4765576209928334e-5
CRUK0052_R4,4.382708944538454e-5,1.5481937093508463e-6
CRUK0037_R5_ROI_2,5.877745569978397e-5,2.023167530202672e-5
CRUK0001_R3_ROI_1,5.98058493865806e-5,1.8034328324790007e-5
CRUK0009_R3_ROI_1,5.71388294639423e-5,2.5581561041268644e-5
CRUK0037_R4_ROI_2,5.998342698742439e-5,2.690088644241416e-5
CRUK0002_R1_ROI_1,5.041744743549383e-5,3.5423179856893487e-6
CRUK0006_R1_ROI_1,-5.7173193108044674e-5,-6.087193603428243e-5
CRUK0001_R2_ROI_2,5.994782196312103e-5,1.8108418660031742e-5
CRUK0024_R7_ROI_1,5.091987474579156e-5,-2.2467471656461897e-5
CRUK0004_R3_ROI_1,5.211873177417973e-5,-1.03171610440964e-5
CRUK0009_R3_ROI_2,5.4291126349461444e-5,8.065324704114306e-6
CRUK0036_R2_ROI_2,5.8749647888300324e-5,2.476619237526917e-5
CRUK0037_R2_ROI_2,5.067959443830611e-5,8.571274027133846e-6
CRUK0006_R2_ROI_2,-0.00011869925743305267,-3.8269173924768294e-5
CRUK0001_R2_ROI_1,5.891189090953342e-5,2.0005720323577098e-5
CRUK0036_R2_ROI_1,5.944634607254014e-5,2.598692669308037e-5
CRUK0002_R1_ROI_2,5.589460209486073e-5,2.068022215189374e-5
CRUK0034_R1_ROI_2,-0.00042460468935450894,4.2654986900484134e-5
CRUK0047_R1,5.726766654794387e-5,2.162460789835134e-5
CRUK0006_R1_ROI_2,2.4215354389295227e-5,-4.809827650227902e-5
CRUK0024_R8,5.887150601132603e-5,2.508751736967825e-5
CRUK0041_R2_ROI_1,5.562954868272762e-5,2.1490090812130733e-5
CRUK0012_R1_ROI_2,-0.0001331464146075476,-9.969615573489392e-5
CRUK0034_R1_ROI_1,-0.0004929772138799033,0.00016779114256335222
CRUK0037_R4_ROI_1,5.874937903990665e-5,2.4765576209928334e-5
CRUK0001_R1_ROI_2,-4.501482358794372e-5,-3.6921966495040935e-5
CRUK0012_R1_ROI_1,-2.0330165131333055e-6,-0.0001150365360315895
CRUK0052_R3,5.3811173164779286e-5,1.1691597696342727e-5
CRUK0057_R2_ROI_1,-9.860579698961507e-5,-0.0001145241156552899
CRUK0009_R4_ROI_1,-9.434877208374928e-5,3.3491563807359484e-5
CRUK0051_R4_ROI_1,-4.262789109846424e-5,-4.251375607664196e-5
CRUK0024_R7_ROI_2,4.7848394433697055e-5,-4.7777547454924486e-5
CRUK0001_R3_ROI_2,5.872551677960975e-5,2.137669115667573e-5
CRUK0046_R3_ROI_1,-0.00018848031259393187,-8.75301509104136e-5
CRUK0009_R2,-2.5229098720099615e-5,-3.312766775367762e-5
CRUK0048_R2,5.691747632615386e-5,1.2322339245453442e-5
CRUK0034_R3,-0.00030052811752298813,-4.972106851950728e-5
CRUK0036_R1_ROI_2,5.901281158400419e-5,2.0808284092726667e-5
CRUK0002_R2_ROI_2,5.932953036271119e-5,2.6187172238204248e-5
CRUK0015_R1,7.1440504961977745e-6,-5.544378467174738e-5
CRUK0046_R3_ROI_2,1.5104729951897939e-5,-3.573336650322716e-6
CRUK0041_R2_ROI_2,5.912450930459615e-5,2.3572103361746507e-5
CRUK0005_R3,5.885053437543382e-5,2.50511373203565e-5
CRUK0010_R1_ROI_2,5.9326547237954374e-5,2.4690562602676217e-5
CRUK0036_R3_ROI_2,5.718825526741362e-5,2.427960872456829e-5
CRUK0010_R1_ROI_1,5.870201944574154e-5,2.1248560895950498e-5
CRUK0046_R4_ROI_2,3.3601039150199113e-5,-1.6810580116536241e-6
CRUK0010_R2,-3.330145690084607e-5,5.625459347141689e-6
CRUK0036_R1_ROI_1,5.9221965132499095e-5,2.5095362319527736e-5
CRUK0001_R1_ROI_1,3.388130462737579e-5,1.2913137391910296e-5
CRUK0052_R1_ROI_1,-1.743684635488041e-6,8.150093544507806e-6
CRUK0002_R3_ROI_2,5.874937903990665e-5,2.4765576209928334e-5
CRUK0015_R2,3.175779996758962e-5,-1.868867150894009e-5
CRUK0024_R2,5.9081957193112186e-5,2.5873602593267942e-5
CRUK0057_R2_ROI_2,-0.00010593666038741277,-4.3820235739741744e-5
CRUK0005_R1,5.711972920640962e-5,2.154657898450169e-5
CRUK0052_R1_ROI_2,5.214806667912938e-5,-6.90762656084679e-6
CRUK0038_R1,-0.00011838984632432804,-4.922890706600362e-5
CRUK0002_R2_ROI_1,5.983992872579394e-5,2.6259331620828885e-5
CRUK0005_R4,5.874956140339343e-5,2.4766002231400408e-5
CRUK0004_R3_ROI_2,5.688722474582774e-5,1.967365639618985e-5
CRUK0036_R3_ROI_1,5.820531473324452e-5,2.5512442907032897e-5
CRUK0002_R3_ROI_1,5.929176783386646e-5,2.6289719817250193e-5
CRUK0009_R4_ROI_2,5.1461595120119967e-5,-7.107678483443522e-6
CRUK0003_R6,5.606745657825444e-5,1.13029245248224e-5
CRUK0037_R2_ROI_1,6.023636289787949e-5,2.830479980735259e-5
CRUK0046_R4_ROI_1,-5.831365684873616e-5,-5.741068038200848e-5
CRUK0051_R4_ROI_2,1.1320008529965737e-5,-5.751021107891718e-5
CRUK0006_R2_ROI_1,-1.3252391226545237e-5,-3.559128964678186e-5
CRUK0024_R1,-0.0002986922848442281,6.283561505205772e-5
